Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.47M,,4.46M,2023-01-31 15:00:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.40M,,4.47M,2023-02-28 14:30:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.37M,,4.40M,2023-03-31 11:45:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.34M,,4.37M,2023-05-02 11:15:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.14M,,4.34M,2023-05-31 14:15:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.14M,,4.14M,2023-06-30 12:00:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.18M,,4.14M,2023-07-31 14:44:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.20M,,4.18M,2023-08-31 21:21:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.28M,,4.20M,2023-09-29 15:00:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.31M,,4.28M,2023-10-31 13:30:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.36M,,4.31M,2023-11-30 13:15:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.28M,,4.36M,2023-12-28 15:00:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.15M,,4.29M,2024-01-31 15:45:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.19M,,4.15M,2024-02-29 15:45:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.13M,,4.19M,2024-03-29 14:00:00
USD,1.0,OPEC Crude oil Production Iraq (Barrel),4.15M,,4.13M,2024-04-30 16:00:00
