Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Participation Rate (Dec),62.30%,,62.20%,2023-01-06 13:30:00
USD,2.0,Participation Rate (Jan),62.40%,,62.30%,2023-02-03 13:30:00
USD,2.0,Participation Rate (Feb),62.50%,,62.40%,2023-03-10 13:30:00
USD,2.0,Participation Rate (Mar),62.60%,62.50%,62.50%,2023-04-07 12:30:00
USD,2.0,Participation Rate (Apr),62.60%,62.50%,62.60%,2023-05-04 12:30:00
USD,2.0,Participation Rate (May),62.60%,62.50%,62.60%,2023-06-02 12:30:00
USD,2.0,Participation Rate (Jun),62.60%,62.60%,62.60%,2023-07-07 12:30:00
USD,2.0,Participation Rate (Jul),62.60%,62.60%,62.60%,2023-08-04 12:30:00
USD,2.0,Participation Rate (Aug),62.80%,62.60%,62.60%,2023-09-01 12:30:00
USD,2.0,Participation Rate (Sep),62.80%,,62.80%,2023-10-06 12:30:00
USD,2.0,Participation Rate (Oct),62.70%,62.80%,62.80%,2023-11-03 12:30:00
USD,2.0,Participation Rate (Nov),62.80%,62.70%,62.70%,2023-12-08 13:30:00
USD,2.0,Participation Rate (Dec),62.50%,62.80%,62.80%,2024-01-05 13:30:00
USD,2.0,Participation Rate (Jan),62.50%,62.60%,62.50%,2024-02-02 13:30:00
USD,2.0,Participation Rate (Feb),62.50%,,62.50%,2024-03-08 13:30:00
USD,2.0,Participation Rate (Mar),62.70%,62.60%,62.50%,2024-04-05 12:30:00
USD,2.0,Participation Rate (Apr),62.70%,,62.70%,2024-05-03 12:30:00
USD,2.0,Participation Rate (May),,,62.70%,2024-06-07 12:30:00
