Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Pending Home Sales Index (Dec),76.9,,75,2023-01-27 15:00:00
USD,1.0,Pending Home Sales Index (Jan),82.5,,76.3,2023-02-27 15:00:00
USD,1.0,Pending Home Sales Index (Feb),83.2,,82.5,2023-03-29 14:00:00
USD,1.0,Pending Home Sales Index (Mar),78.9,,83.2,2023-04-27 14:00:00
USD,1.0,Pending Home Sales Index (Apr),78.9,,78.9,2023-05-25 14:00:00
USD,1.0,Pending Home Sales Index (May),76.5,,78.6,2023-06-29 14:00:00
USD,1.0,Pending Home Sales Index (Jun),76.8,,76.6,2023-07-27 14:00:00
USD,1.0,Pending Home Sales Index (Jul),77.6,,76.9,2023-08-30 14:00:00
USD,1.0,Pending Home Sales Index (Aug),71.8,,77.3,2023-09-28 14:00:00
USD,1.0,Pending Home Sales Index (Sep),72.6,,71.8,2023-10-26 14:00:00
USD,1.0,Pending Home Sales Index (Oct),71.4,,72.5,2023-11-30 15:00:00
USD,1.0,Pending Home Sales Index (Nov),71.6,,71.6,2023-12-28 15:00:00
USD,1.0,Pending Home Sales Index (Dec),77.3,,71.4,2024-01-26 15:00:00
USD,1.0,Pending Home Sales Index (Jan),74.3,,78.1,2024-02-29 15:00:00
USD,1.0,Pending Home Sales Index (Feb),75.6,,74.4,2024-03-28 14:00:00
USD,1.0,Pending Home Sales Index (Mar),78.2,,75.6,2024-04-25 14:00:00
USD,1.0,Pending Home Sales Index (Apr),,,78.2,2024-05-30 14:00:00
