Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Philly Fed Business Conditions (Jan),4.9,,-0.9,2023-01-19 13:30:00
USD,1.0,Philly Fed Business Conditions (Feb),1.7,,4.9,2023-02-16 13:30:00
USD,1.0,Philly Fed Business Conditions (Mar),-8,,1.7,2023-03-16 12:30:00
USD,1.0,Philly Fed Business Conditions (Apr),-1.5,-11.9,-8,2023-04-20 12:30:00
USD,1.0,Philly Fed Business Conditions (May),-10.3,-11.3,-1.5,2023-05-18 12:30:00
USD,1.0,Philly Fed Business Conditions (Jun),12.7,-10.9,-10.3,2023-06-15 12:30:00
USD,1.0,Philly Fed Business Conditions (Jul),29.1,10,12.7,2023-07-20 12:30:00
USD,1.0,Philly Fed Business Conditions (Aug),3.9,31.6,29.1,2023-08-17 12:30:00
USD,1.0,Philly Fed Business Conditions (Sep),11.1,,3.9,2023-09-21 12:30:00
USD,1.0,Philly Fed Business Conditions (Oct),9.2,,11.1,2023-10-19 12:30:00
USD,1.0,Philly Fed Business Conditions (Nov),-2.1,,9.2,2023-11-16 13:30:00
USD,1.0,Philly Fed Business Conditions (Dec),12.1,,-2.1,2023-12-21 13:30:00
USD,1.0,Philly Fed Business Conditions (Jan),-4,,12.6,2024-01-18 13:30:00
USD,1.0,Philly Fed Business Conditions (Feb),7.2,,-4,2024-02-15 13:30:00
USD,1.0,Philly Fed Business Conditions (Mar),38.6,,7.2,2024-03-21 12:30:00
USD,1.0,Philly Fed Business Conditions (Apr),34.3,,38.6,2024-04-18 12:30:00
USD,1.0,Philly Fed Business Conditions (May),32.4,,34.3,2024-05-16 12:30:00
