Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Real Consumer Spending (Q4),2.10%,,2.30%,2023-01-26 13:30:00
USD,1.0,Real Consumer Spending (Q4),1.40%,,2.30%,2023-02-23 13:30:00
USD,1.0,Real Consumer Spending (Q4),1.00%,,2.10%,2023-03-30 12:30:00
USD,1.0,Real Consumer Spending (Q1),3.70%,,1.00%,2023-04-27 12:30:00
USD,1.0,Real Consumer Spending (Q1),3.80%,3.70%,1.00%,2023-05-25 12:30:00
USD,1.0,Real Consumer Spending (Q1),4.20%,,1.00%,2023-06-29 12:30:00
USD,1.0,Real Consumer Spending (Q2),1.60%,,4.20%,2023-07-27 12:30:00
USD,1.0,Real Consumer Spending (Q2),1.70%,1.60%,4.20%,2023-08-30 12:30:00
USD,1.0,Real Consumer Spending (Q2),0.80%,1.70%,4.20%,2023-09-28 12:30:00
USD,1.0,Real Consumer Spending (Q3),4.00%,,0.80%,2023-10-26 12:30:00
USD,1.0,Real Consumer Spending (Q3),3.60%,4.00%,0.80%,2023-11-29 13:30:00
USD,1.0,Real Consumer Spending (Q3),3.10%,3.60%,3.60%,2023-12-21 13:30:00
USD,1.0,Real Consumer Spending (Q4),2.80%,,3.10%,2024-01-25 13:30:00
USD,1.0,Real Consumer Spending (Q4),3.00%,2.80%,3.10%,2024-02-28 13:30:00
USD,1.0,Real Consumer Spending (Q4),3.30%,3.00%,3.10%,2024-03-28 12:30:00
USD,1.0,Real Consumer Spending (Q1),2.50%,2.80%,3.30%,2024-04-25 12:30:00
USD,1.0,Real Consumer Spending (Q1),,,2.50%,2024-05-30 12:30:00
