Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Real Personal Consumption (MoM) (Dec),-0.30%,,-0.20%,2023-01-27 13:30:00
USD,1.0,Real Personal Consumption (MoM) (Jan),1.10%,,-0.30%,2023-02-24 13:30:00
USD,1.0,Real Personal Consumption (MoM) (Feb),-0.10%,0.00%,1.50%,2023-03-31 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Mar),0.00%,,-0.20%,2023-04-28 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Apr),0.50%,,0.00%,2023-05-26 12:30:00
USD,1.0,Real Personal Consumption (MoM) (May),0.00%,0.00%,0.20%,2023-06-30 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Jun),0.40%,,0.10%,2023-07-28 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Jul),0.60%,0.00%,0.40%,2023-08-31 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Aug),0.10%,,0.60%,2023-09-29 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Sep),0.40%,,0.10%,2023-10-27 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Oct),0.20%,,0.30%,2023-11-30 13:30:00
USD,1.0,Real Personal Consumption (MoM) (Nov),0.30%,,0.10%,2023-12-22 13:30:00
USD,1.0,Real Personal Consumption (MoM) (Dec),0.50%,0.30%,0.50%,2024-01-26 13:30:00
USD,1.0,Real Personal Consumption (MoM) (Jan),-0.10%,,0.60%,2024-02-29 13:30:00
USD,1.0,Real Personal Consumption (MoM) (Feb),0.40%,,-0.20%,2024-03-29 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Mar),0.50%,,0.50%,2024-04-26 12:30:00
USD,1.0,Real Personal Consumption (MoM) (Apr),,,0.50%,2024-05-31 12:30:00
