Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Retail Inventories Ex Auto (Nov),-0.30%,,-0.60%,2023-01-18 15:00:00
USD,2.0,Retail Inventories Ex Auto (Dec),0.30%,,-0.40%,2023-01-26 13:30:00
USD,2.0,Retail Inventories Ex Auto (Dec),0.40%,0.30%,-0.30%,2023-02-15 15:00:00
USD,2.0,Retail Inventories Ex Auto (Jan),0.20%,,0.10%,2023-02-28 13:30:00
USD,2.0,Retail Inventories Ex Auto (Jan),0.10%,0.20%,0.20%,2023-03-15 14:00:00
USD,2.0,Retail Inventories Ex Auto (Feb),0.40%,,0.10%,2023-03-28 12:30:00
USD,2.0,Retail Inventories Ex Auto (Feb),0.30%,0.40%,0.10%,2023-04-14 14:00:00
USD,2.0,Retail Inventories Ex Auto (Mar),0.40%,0.10%,-0.10%,2023-04-26 12:30:00
USD,2.0,Retail Inventories Ex Auto (Mar),0.30%,0.40%,-0.20%,2023-05-16 14:00:00
USD,2.0,Retail Inventories Ex Auto (Apr),-0.10%,,0.10%,2023-05-26 12:30:00
USD,2.0,Retail Inventories Ex Auto (Apr),-0.20%,-0.10%,0.30%,2023-06-15 14:00:00
USD,2.0,Retail Inventories Ex Auto (May),0.00%,,-0.30%,2023-06-28 12:30:00
USD,2.0,Retail Inventories Ex Auto (May),-0.10%,0.00%,-0.20%,2023-07-18 14:00:00
USD,2.0,Retail Inventories Ex Auto (Jun),0.40%,,-0.10%,2023-07-27 12:30:00
USD,2.0,Retail Inventories Ex Auto (Jun),0.30%,0.40%,-0.10%,2023-08-15 14:00:00
USD,2.0,Retail Inventories Ex Auto (Jul),0.10%,,0.20%,2023-08-30 12:30:00
USD,2.0,Retail Inventories Ex Auto (Jul),0.00%,,0.10%,2023-09-14 14:00:00
USD,2.0,Retail Inventories Ex Auto (Aug),0.60%,,0.00%,2023-09-29 12:30:00
USD,2.0,Retail Inventories Ex Auto (Aug),0.50%,0.60%,0.00%,2023-10-17 14:00:00
USD,2.0,Retail Inventories Ex Auto (Sep),0.30%,,0.60%,2023-10-26 12:30:00
USD,2.0,Retail Inventories Ex Auto (Sep),0.40%,0.30%,0.50%,2023-11-15 15:00:00
USD,2.0,Retail Inventories Ex Auto (Oct),-0.90%,,-0.40%,2023-11-29 13:30:00
USD,2.0,Retail Inventories Ex Auto (Oct),-0.90%,-0.90%,0.40%,2023-12-14 15:00:00
USD,2.0,Retail Inventories Ex Auto (Nov),-0.80%,,-1.10%,2023-12-28 13:30:00
USD,2.0,Retail Inventories Ex Auto (Nov),-0.90%,-0.80%,-1.10%,2024-01-17 15:00:00
USD,2.0,Retail Inventories Ex Auto (Dec),0.60%,,-0.60%,2024-01-25 13:30:00
USD,2.0,Retail Inventories Ex Auto (Dec),0.40%,0.60%,-0.90%,2024-02-15 15:00:00
USD,2.0,Retail Inventories Ex Auto (Jan),0.30%,,0.40%,2024-02-28 13:30:00
USD,2.0,Retail Inventories Ex Auto (Jan),0.30%,0.30%,0.40%,2024-03-14 14:00:00
USD,2.0,Retail Inventories Ex Auto (Feb),0.40%,,0.30%,2024-03-29 12:30:00
USD,2.0,Retail Inventories Ex Auto (Feb),0.40%,0.40%,0.30%,2024-04-15 14:00:00
USD,2.0,Retail Inventories Ex Auto (Mar),-0.10%,,0.30%,2024-04-25 12:30:00
USD,2.0,Retail Inventories Ex Auto (Mar),-0.20%,-0.10%,-0.10%,2024-05-15 14:00:00
USD,2.0,Retail Inventories Ex Auto (Apr),,,-0.20%,2024-05-30 12:30:00
