Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,TIC Net Long-Term Transactions (Nov),171.5B,92.7B,67.8B,2023-01-18 21:00:00
USD,2.0,TIC Net Long-Term Transactions (Dec),152.8B,,171.5B,2023-02-15 21:00:00
USD,2.0,TIC Net Long-Term Transactions (Jan),31.9B,,152.8B,2023-03-15 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Feb),71.0B,101.9B,31.9B,2023-04-17 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Mar),133.3B,85.4B,56.6B,2023-05-15 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Apr),127.8B,107.4B,205.6B,2023-06-15 20:00:00
USD,2.0,TIC Net Long-Term Transactions (May),25.8B,110.2B,127.8B,2023-07-18 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Jun),195.9B,107.2B,23.6B,2023-08-15 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Jul),8.8B,116.5B,186.0B,2023-09-18 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Aug),63.5B,76.8B,9.5B,2023-10-18 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Sep),-1.7B,89.4B,62.2B,2023-11-16 21:00:00
USD,2.0,TIC Net Long-Term Transactions (Oct),3.3B,45.8B,0.9B,2023-12-19 21:00:00
USD,2.0,TIC Net Long-Term Transactions (Dec),160.2B,42.6B,99.7B,2024-02-15 21:00:00
USD,2.0,TIC Net Long-Term Transactions (Jan),36.1B,95.5B,158.6B,2024-03-19 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Feb),71.5B,40.2B,14.0B,2024-04-17 20:00:00
USD,2.0,TIC Net Long-Term Transactions (Mar),100.5B,89.3B,62.9B,2024-05-15 20:00:00
