Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Texas Services Sector Outlook (Jan),-15,,-20.5,2023-01-31 15:30:00
USD,1.0,Texas Services Sector Outlook (Feb),-9.3,,-15,2023-02-28 15:30:00
USD,1.0,Texas Services Sector Outlook (Mar),-18,,-9.3,2023-03-28 14:30:00
USD,1.0,Texas Services Sector Outlook (Apr),-14.4,-16,-18,2023-04-25 14:30:00
USD,1.0,Texas Services Sector Outlook (May),-17.3,-16,-14.4,2023-05-31 14:30:00
USD,1.0,Texas Services Sector Outlook (Jun),-8.2,,-17.3,2023-06-27 14:30:00
USD,1.0,Texas Services Sector Outlook (Jul),-4.2,-12.5,-8.2,2023-08-01 14:30:00
USD,1.0,Texas Services Sector Outlook (Aug),-2.7,-6.1,-4.2,2023-08-29 14:30:00
USD,1.0,Texas Services Sector Outlook (Sep),-8.6,,-2.7,2023-09-26 14:30:00
USD,1.0,Texas Services Sector Outlook (Oct),-18.2,,-8.6,2023-10-31 14:30:00
USD,1.0,Texas Services Sector Outlook (Nov),-11.6,,-18.2,2023-11-28 15:30:00
USD,1.0,Texas Services Sector Outlook (Dec),-8.7,,-11.6,2023-12-27 15:30:00
USD,1.0,Texas Services Sector Outlook (Jan),-9.3,,-8.8,2024-01-30 15:30:00
USD,1.0,Texas Services Sector Outlook (Feb),-3.9,,-9.3,2024-02-27 15:30:00
USD,1.0,Texas Services Sector Outlook (Mar),-5.5,,-3.9,2024-03-26 14:30:00
USD,1.0,Texas Services Sector Outlook (Apr),-10.6,,-5.5,2024-04-30 14:30:00
USD,1.0,Texas Services Sector Outlook (May),,,-10.6,2024-05-29 14:30:00
