Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Trade Balance (Nov),-61.50B,-73.00B,-77.80B,2023-01-05 13:30:00
USD,2.0,Trade Balance (Dec),-67.40B,-68.50B,-61.00B,2023-02-07 13:30:00
USD,2.0,Trade Balance (Jan),-68.30B,-68.90B,-67.20B,2023-03-08 13:30:00
USD,2.0,Trade Balance (Feb),-70.50B,-69.00B,-68.70B,2023-04-05 12:30:00
USD,2.0,Trade Balance (Mar),-64.20B,-63.30B,-70.60B,2023-05-04 12:30:00
USD,2.0,Trade Balance (Apr),-74.60B,-75.20B,-60.60B,2023-06-07 12:30:00
USD,2.0,Trade Balance (May),-69.00B,-69.00B,-74.40B,2023-07-06 12:30:00
USD,2.0,Trade Balance (Jun),-65.50B,-65.00B,-68.30B,2023-08-08 12:30:00
USD,2.0,Trade Balance (Jul),-65.00B,-68.00B,-63.70B,2023-09-06 12:30:00
USD,2.0,Trade Balance (Aug),-58.30B,-62.30B,-64.70B,2023-10-05 12:30:00
USD,2.0,Trade Balance (Sep),-61.50B,-59.90B,-58.70B,2023-11-07 13:30:00
USD,2.0,Trade Balance (Oct),-64.30B,-64.20B,-61.20B,2023-12-06 13:30:00
USD,2.0,Trade Balance (Nov),-63.20B,-65.00B,-64.50B,2024-01-09 13:30:00
USD,2.0,Trade Balance (Dec),-62.20B,-62.00B,-61.90B,2024-02-07 13:30:00
USD,2.0,Trade Balance (Jan),-67.40B,-63.40B,-64.20B,2024-03-07 13:30:00
USD,2.0,Trade Balance (Feb),-68.90B,-66.90B,-67.60B,2024-04-04 12:30:00
USD,2.0,Trade Balance (Mar),-69.40B,-69.50B,-69.50B,2024-05-02 12:30:00
USD,2.0,Trade Balance (Apr),,,-69.40B,2024-06-06 12:30:00
