Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,U.S. Baker Hughes Total Rig Count,772,,779,2023-01-06 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,725,,772,2023-01-13 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,771,,775,2023-01-20 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,771,,771,2023-01-27 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,759,,771,2023-02-03 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,761,,759,2023-02-10 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,760,,761,2023-02-17 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,753,,760,2023-02-24 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,749,,753,2023-03-03 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,746,,749,2023-03-10 18:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,754,,746,2023-03-17 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,758,,754,2023-03-24 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,755,,758,2023-03-31 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,751,,755,2023-04-06 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,748,,751,2023-04-14 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,753,,748,2023-04-21 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,755,,753,2023-04-28 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,748,,755,2023-05-04 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,731,,748,2023-05-12 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,720,,731,2023-05-19 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,711,,720,2023-05-26 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,696,,711,2023-06-02 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,695,,696,2023-06-09 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,687,,695,2023-06-16 17:00:00
USD,2.0,U.S. Baker Hughes Total Rig Count,682,,687,2023-06-23 17:00:00
