Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Existing Home Sales (Dec),4.02M,3.96M,4.08M,1/20/2023 15:00
USD,3.0,Existing Home Sales (Jan),4.00M,4.10M,4.03M,2/21/2023 15:00
USD,3.0,Existing Home Sales,4.58M,4.19M,4.00M,3/21/2023 14:00
USD,3.0,Existing Home Sales (Mar),4.44M,4.50M,4.55M,4/20/2023 14:00
USD,3.0,Existing Home Sales (Apr),4.28M,4.30M,4.43M,5/18/2023 14:00
USD,3.0,Existing Home Sales (May),4.30M,4.25M,4.29M,6/22/2023 14:00
USD,3.0,Existing Home Sales (Jun),4.16M,4.20M,4.30M,7/20/2023 14:00
USD,3.0,Existing Home Sales (Jul),4.07M,4.15M,4.16M,8/22/2023 14:00
USD,3.0,Existing Home Sales (Aug),4.04M,4.10M,4.07M,9/21/2023 14:00
USD,3.0,Existing Home Sales (Sep),3.96M,3.89M,4.04M,10/19/2023 14:00
USD,3.0,Existing Home Sales (Oct),3.79M,3.90M,3.95M,11/21/2023 15:00
USD,3.0,Existing Home Sales (Nov),3.82M,3.78M,3.79M,12/20/2023 15:00
USD,3.0,Existing Home Sales (Jan),4.00M,3.96M,3.88M,2/22/2024 15:00
USD,3.0,Existing Home Sales (Feb),4.38M,3.95M,4.00M,3/21/2024 14:00
USD,3.0,Existing Home Sales (Mar),4.19M,4.20M,4.38M,4/18/2024 14:00
