Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Export Price Index (MoM) (Dec),-2.60%,-0.50%,-0.40%,2023-01-13 13:30:00
USD,2.0,Export Price Index (MoM) (Jan),0.80%,-0.20%,-3.20%,2023-02-17 13:30:00
USD,2.0,Export Price Index (MoM) (Feb),0.20%,-0.10%,0.50%,2023-03-16 12:30:00
USD,2.0,Export Price Index (MoM) (Mar),-0.30%,-0.10%,0.40%,2023-04-14 12:30:00
USD,2.0,Export Price Index (MoM) (Apr),0.20%,0.20%,-0.60%,2023-05-12 12:30:00
USD,2.0,Export Price Index (MoM) (May),-1.90%,0.00%,-0.10%,2023-06-15 12:30:00
USD,2.0,Export Price Index (MoM) (Jun),-0.90%,-0.20%,-1.90%,2023-07-14 12:30:00
USD,2.0,Export Price Index (MoM) (Jul),0.70%,0.20%,-0.70%,2023-08-15 12:30:00
USD,2.0,Export Price Index (MoM) (Aug),1.30%,0.40%,0.50%,2023-09-15 12:30:00
USD,2.0,Export Price Index (MoM) (Sep),0.70%,0.50%,1.10%,2023-10-13 12:30:00
USD,2.0,Export Price Index (MoM) (Oct),-1.10%,-0.50%,0.50%,2023-11-16 13:30:00
USD,2.0,Export Price Index (MoM) (Nov),-0.90%,-1.00%,-0.90%,2023-12-14 13:30:00
USD,2.0,Export Price Index (MoM) (Dec),-0.90%,-0.60%,-0.90%,2024-01-17 13:30:00
USD,2.0,Export Price Index (MoM) (Jan),0.80%,-0.10%,-0.70%,2024-02-15 13:30:00
USD,2.0,Export Price Index (MoM) (Feb),0.80%,0.20%,0.90%,2024-03-15 12:30:00
USD,2.0,Export Price Index (MoM) (Mar),0.30%,0.30%,0.70%,2024-04-11 12:30:00
USD,2.0,Export Price Index (MoM) (Apr),0.50%,0.40%,0.10%,2024-05-16 12:30:00
