Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Export Price Index (YoY),5.00%,,6.30%,2023-01-13 13:30:00
USD,1.0,Export Price Index (YoY),2.30%,,4.30%,2023-02-17 13:30:00
USD,1.0,Export Price Index (YoY),-0.80%,,2.20%,2023-03-16 12:30:00
USD,1.0,Export Price Index (YoY),-4.80%,,-0.80%,2023-04-14 12:30:00
USD,1.0,Export Price Index (YoY),-5.90%,,-4.80%,2023-05-12 12:30:00
USD,1.0,Export Price Index (YoY),-10.10%,,-5.90%,2023-06-15 12:30:00
USD,1.0,Export Price Index (YoY),-12.00%,-11.10%,-10.10%,2023-07-14 12:30:00
USD,1.0,Export Price Index (YoY),-7.90%,-14.10%,-12.00%,2023-08-15 12:30:00
USD,1.0,Export Price Index (YoY),-5.50%,-6.80%,-7.90%,2023-09-15 12:30:00
USD,1.0,Export Price Index (YoY),-4.10%,,-5.70%,2023-10-13 12:30:00
USD,1.0,Export Price Index (YoY),-4.90%,,-4.30%,2023-11-16 13:30:00
USD,1.0,Export Price Index (YoY),-5.20%,,-4.90%,2023-12-14 13:30:00
USD,1.0,Export Price Index (YoY),-3.20%,,-5.20%,2024-01-17 13:30:00
USD,1.0,Export Price Index (YoY),-2.40%,,-2.90%,2024-02-15 13:30:00
USD,1.0,Export Price Index (YoY),-1.80%,,-2.20%,2024-03-15 12:30:00
USD,1.0,Export Price Index (YoY) (Mar),-1.40%,-1.20%,-1.80%,2024-04-11 12:30:00
USD,1.0,Export Price Index (YoY),-1.00%,,-1.40%,2024-05-16 12:30:00
