Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Exports,251.90B,,256.90B,2023-01-05 13:30:00
USD,2.0,Exports,250.20B,,252.40B,2023-02-07 13:30:00
USD,2.0,Exports,257.50B,,249.00B,2023-03-08 13:30:00
USD,2.0,Exports,251.15B,250.40B,258.10B,2023-04-05 12:30:00
USD,2.0,Exports,256.20B,,250.90B,2023-05-04 12:30:00
USD,2.0,Exports,249.00B,,258.20B,2023-06-07 12:30:00
USD,2.0,Exports,247.10B,,249.20B,2023-07-06 12:30:00
USD,2.0,Exports,247.50B,,247.10B,2023-08-08 12:30:00
USD,2.0,Exports,251.66B,,247.50B,2023-09-06 12:30:00
USD,2.0,Exports,256.00B,,251.90B,2023-10-05 12:30:00
USD,2.0,Exports,261.10B,,255.40B,2023-11-07 13:30:00
USD,2.0,Exports,258.80B,,261.40B,2023-12-06 13:30:00
USD,2.0,Exports,253.70B,,258.60B,2024-01-09 13:30:00
USD,2.0,Exports (Dec),258.20B,,254.30B,2024-02-07 13:30:00
USD,2.0,Exports,257.20B,,256.90B,2024-03-07 13:30:00
USD,2.0,Exports,263.00B,,257.20B,2024-04-04 12:30:00
USD,2.0,Exports,257.60B,,263.00B,2024-05-02 12:30:00
