Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,FOMC Member Harker Speaks,,,,2023-01-12 12:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-01-13 12:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-01-18 19:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-01-20 14:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-02-10 21:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-02-14 16:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-04-11 20:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-05-31 16:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-06-01 17:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-08-07 12:15:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-08-08 12:15:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-08-10 19:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-08-10 20:15:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-09-07 14:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-02 15:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-13 13:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-16 14:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-16 20:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-18 19:15:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-19 21:30:00
USD,2.0,FOMC Member Harker Speaks,,,,2023-10-20 13:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2024-02-06 00:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2024-02-22 20:15:00
USD,2.0,FOMC Member Harker Speaks,,,,2024-03-04 16:00:00
USD,2.0,FOMC Member Harker Speaks,,,,2024-05-16 14:30:00
