Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,FOMC Member Mester Speaks,,,,2023-02-16 13:45:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-02-16 23:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-02-24 15:15:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-04-04 22:45:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-05-16 12:15:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-06-21 20:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-06-22 14:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-06-23 17:40:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-07-10 15:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-07-12 20:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-10-02 23:30:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-10-05 13:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-10-20 16:15:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-11-14 16:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-11-16 17:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2023-11-29 18:45:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-02-06 17:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-02-29 18:15:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-03-07 16:30:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-04-02 16:05:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-04-04 18:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-04-17 21:30:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-05-13 13:00:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-05-16 15:30:00
USD,2.0,FOMC Member Mester Speaks,,,,2024-05-21 23:00:00
