Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Factory orders ex transportation (MoM) (Nov),-0.80%,,0.10%,1/6/2023 15:00
USD,1.0,Factory orders ex transportation (MoM) (Dec),-1.20%,,-1.20%,2/2/2023 15:00
USD,1.0,Factory orders ex transportation (MoM) (Jan),1.20%,,-1.20%,3/6/2023 15:00
USD,1.0,Factory orders ex transportation (MoM) (Feb),-0.30%,-0.80%,0.80%,4/4/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Mar),-0.70%,,-0.70%,5/2/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Apr),-0.20%,0.60%,-1.00%,6/5/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (May),-0.50%,0.50%,-0.60%,7/5/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Jun),0.20%,0.40%,-0.40%,8/3/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Jul),0.80%,,0.30%,9/5/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Aug),1.40%,,0.90%,10/4/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Sep),0.80%,,1.50%,11/2/2023 14:00
USD,1.0,Factory orders ex transportation (MoM) (Oct),-1.20%,,0.40%,12/4/2023 15:00
USD,1.0,Factory orders ex transportation (MoM) (Nov),0.10%,,-1.30%,1/5/2024 15:00
USD,1.0,Factory orders ex transportation (MoM) (Dec),0.40%,,0.20%,2/2/2024 15:00
USD,1.0,Factory orders ex transportation (MoM) (Jan),-0.80%,,-0.30%,3/5/2024 15:00
USD,1.0,Factory orders ex transportation (MoM) (Feb),1.10%,,-0.60%,4/2/2024 14:00
