Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Fed Goolsbee Speaks,,,,2023-06-21 15:40:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-08-22 18:30:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-09-07 15:45:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-09-28 13:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-10-04 14:30:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-10-19 17:20:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-11-07 13:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-11-14 17:45:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-11-17 14:45:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-11-28 15:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-12-01 15:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2023-12-19 23:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-02-05 15:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-02-14 14:30:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-02-29 16:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-02-29 22:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-04-03 16:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-04-04 16:45:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-04-08 17:00:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-04-10 16:45:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-04-19 14:30:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-05-03 23:45:00
USD,1.0,Fed Goolsbee Speaks,,,,2024-05-10 16:45:00
