Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-02-24 15:15:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-02-27 15:30:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-03-27 21:00:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-05-08 12:30:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-05-12 23:45:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-05-18 13:05:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-05-31 17:30:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-10-09 17:30:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-10-19 13:00:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-11-08 21:45:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2023-11-14 10:30:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2024-02-22 15:00:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2024-04-16 13:00:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2024-05-08 15:00:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2024-05-13 13:00:00
USD,1.0,Fed Governor Jefferson Speaks,,,,2024-05-20 14:30:00
