Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Fed Interest Rate Decision,4.75%,4.75%,4.50%,2/1/2023 19:00
USD,3.0,Fed Interest Rate Decision,5.00%,5.00%,4.75%,3/22/2023 18:00
USD,3.0,Fed Interest Rate Decision,5.25%,5.25%,5.00%,5/3/2023 18:00
USD,3.0,Fed Interest Rate Decision,5.25%,5.25%,5.25%,6/14/2023 18:00
USD,3.0,Fed Interest Rate Decision,5.50%,5.50%,5.25%,7/26/2023 18:00
USD,3.0,Fed Interest Rate Decision,5.50%,5.50%,5.50%,9/20/2023 18:00
USD,3.0,Fed Interest Rate Decision,5.50%,5.50%,5.50%,11/1/2023 18:00
USD,3.0,Fed Interest Rate Decision,5.50%,5.50%,5.50%,12/13/2023 19:00
USD,3.0,Fed Interest Rate Decision,5.50%,5.50%,5.50%,1/31/2024 19:00
USD,3.0,Fed Interest Rate Decision,5.50%,5.50%,5.50%,3/20/2024 18:00
