Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-02-07 19:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-02-08 15:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-03-09 15:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-07-10 14:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-07-18 14:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-09-08 05:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-09-08 13:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-10-02 17:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-10-05 16:15:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-10-09 13:15:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-10-19 17:30:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-10-27 13:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-03 12:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-03 19:30:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-07 14:15:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-08 19:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-14 15:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-15 14:30:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-16 12:10:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-16 15:35:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-17 13:45:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-28 18:05:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-11-28 20:30:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2023-12-01 08:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-01-09 17:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-01-17 14:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-02-14 21:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-02-16 14:10:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-02-27 14:05:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-03-05 17:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-03-05 20:30:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-03-21 16:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-03-22 16:00:00
USD,3.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-04-03 17:10:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-05-10 17:30:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-05-15 14:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-05-16 14:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-05-20 13:00:00
USD,2.0,Fed Vice Chair for Supervision Barr Speaks,,,,2024-05-21 15:45:00
