Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Federal Budget Balance (Dec),-85.0B,-70.0B,-249.0B,1/12/2023 19:00
USD,2.0,Federal Budget Balance (Jan),-39.0B,-63.0B,-85.0B,2/10/2023 19:00
USD,2.0,Federal Budget Balance (Feb),-262.0B,-256.0B,-39.0B,3/10/2023 19:00
USD,2.0,Federal Budget Balance (Mar),-378.0B,-302.0B,-262.0B,4/12/2023 18:00
USD,2.0,Federal Budget Balance (Apr),176.0B,235.0B,-378.0B,5/10/2023 18:00
USD,2.0,Federal Budget Balance (May),-240.0B,-236.0B,176.0B,6/12/2023 18:00
USD,2.0,Federal Budget Balance (Jun),-228.0B,-175.0B,-240.0B,7/13/2023 18:00
USD,2.0,Federal Budget Balance (Jul),-221.0B,-109.3B,-228.0B,8/10/2023 18:00
USD,2.0,Federal Budget Balance (Aug),89.3B,-240.0B,-221.0B,9/13/2023 18:00
USD,2.0,Federal Budget Balance (Sep),-171.0B,-78.6B,89.0B,10/20/2023 18:00
USD,2.0,Federal Budget Balance (Oct),-67.0B,-65.0B,-171.0B,11/13/2023 19:00
USD,2.0,Federal Budget Balance (Nov),-314.0B,-301.1B,-67.0B,12/12/2023 19:00
USD,2.0,Federal Budget Balance (Dec),-129.0B,-65.3B,-314.0B,1/11/2024 19:00
USD,2.0,Federal Budget Balance (Jan),-22.0B,-39.3B,-129.0B,2/12/2024 19:00
USD,2.0,Federal Budget Balance (Feb),-296.0B,-298.5B,-22.0B,3/12/2024 18:00
USD,2.0,Federal Budget Balance (Mar),-236.0B,-209.4B,-296.0B,4/10/2024 18:00
