Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Fed's Balance Sheet,"8,507.43B",,"8,551.17B",1/4/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,508.59B",,"8,507.43B",1/11/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,489.04B",,"8,508.59B",1/18/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,471B",,"8,489B",1/25/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,434B",,"8,471B",2/1/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,435B",,"8,434B",2/8/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,385B",,"8,435B",2/15/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,382B",,"8,385B",2/22/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,340B",,"8,382B",3/1/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,342B",,"8,340B",3/8/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,639B",,"8,342B",3/15/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,734B",,"8,639B",3/22/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,706B",,"8,734B",3/29/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,632B",,"8,706B",4/6/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,615B",,"8,632B",4/13/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,593B",,"8,615B",4/20/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,563B",,"8,593B",4/27/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,504B",,"8,563B",5/4/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,503B",,"8,504B",5/11/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,457B",,"8,503B",5/18/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,436B",,"8,457B",5/25/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,386B",,"8,436B",6/1/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,389B",,"8,386B",6/8/2023 20:30
USD,2.0,Fed's Balance Sheet,"8,388B",,"8,389B",6/15/2023 20:30
