Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,GDP Sales (Q4),1.40%,,4.50%,2023-01-26 13:30:00
USD,1.0,GDP Sales (Q4),1.20%,,4.50%,2023-02-23 13:30:00
USD,1.0,GDP Sales (Q4),1.10%,,4.50%,2023-03-30 12:30:00
USD,1.0,GDP Sales (Q1),3.40%,2.30%,1.10%,2023-04-27 12:30:00
USD,1.0,GDP Sales (Q1),3.40%,3.40%,1.10%,2023-05-25 12:30:00
USD,1.0,GDP Sales (Q1),4.20%,3.50%,1.10%,2023-06-29 12:30:00
USD,1.0,GDP Sales (Q2),2.30%,1.40%,4.20%,2023-07-27 12:30:00
USD,1.0,GDP Sales (Q2),2.20%,2.30%,4.20%,2023-08-30 12:30:00
USD,1.0,GDP Sales (Q2),2.10%,2.20%,4.20%,2023-09-28 12:30:00
USD,1.0,GDP Sales (Q3),3.50%,4.50%,2.10%,2023-10-26 12:30:00
USD,1.0,GDP Sales (Q3),3.70%,3.50%,2.10%,2023-11-29 13:30:00
USD,1.0,GDP Sales (Q3),3.60%,3.70%,2.10%,2023-12-21 13:30:00
USD,1.0,GDP Sales (Q4),3.20%,,3.60%,2024-01-25 13:30:00
USD,1.0,GDP Sales (Q4),3.50%,3.20%,3.60%,2024-02-28 13:30:00
USD,1.0,GDP Sales (Q4),3.90%,3.50%,3.60%,2024-03-28 12:30:00
USD,1.0,GDP Sales (Q1),2.00%,,3.90%,2024-04-25 12:30:00
USD,1.0,GDP Sales (Q1),,,2.00%,2024-05-30 12:30:00
