Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Government Payrolls (Dec),3.0K,,54.0K,1/6/2023 13:30
USD,1.0,Government Payrolls (Jan),74.0K,,-9.0K,2/3/2023 13:30
USD,1.0,Government Payrolls (Feb),46.0K,,118.0K,3/10/2023 13:30
USD,1.0,Government Payrolls (Mar),47.0K,2.0K,60.0K,4/7/2023 12:30
USD,1.0,Government Payrolls (Apr),23.0K,-8.0K,42.0K,5/4/2023 12:30
USD,1.0,Government Payrolls (May),56.0K,,41.0K,6/2/2023 12:30
USD,1.0,Government Payrolls (Jun),60.0K,7.0K,47.0K,7/7/2023 12:30
USD,1.0,Government Payrolls (Jul),15.0K,,57.0K,8/4/2023 12:30
USD,1.0,Government Payrolls (Aug),8.0K,-2.0K,2.0K,9/1/2023 12:30
USD,1.0,Government Payrolls (Sep),73.0K,,50.0K,10/6/2023 12:30
USD,1.0,Government Payrolls (Oct),51.0K,29.0K,51.0K,11/3/2023 12:30
USD,1.0,Government Payrolls (Nov),49.0K,,65.0K,12/8/2023 13:30
USD,1.0,Government Payrolls (Dec),52.0K,,37.0K,1/5/2024 13:30
USD,1.0,Government Payrolls (Jan),36.0K,,55.0K,2/2/2024 13:30
USD,1.0,Government Payrolls (Feb),52.0K,,52.0K,3/8/2024 13:30
USD,1.0,Government Payrolls (Mar),71.0K,,63.0K,4/5/2024 12:30
