Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Heating Oil Stockpiles,-0.476M,,0.011M,2023-01-05 16:00:00
USD,1.0,Heating Oil Stockpiles,0.405M,,-0.476M,2023-01-11 15:30:00
USD,1.0,Heating Oil Stockpiles,-0.260M,,0.405M,2023-01-19 16:00:00
USD,1.0,Heating Oil Stockpiles,-0.234M,,-0.260M,2023-01-25 15:30:00
USD,1.0,Heating Oil Stockpiles,-0.328M,,-0.234M,2023-02-01 15:30:00
USD,1.0,Heating Oil Stockpiles,-0.115M,,-0.328M,2023-02-08 15:30:00
USD,1.0,Heating Oil Stockpiles,-0.349M,,-0.115M,2023-02-15 15:30:00
USD,1.0,Heating Oil Stockpiles,0.597M,,-0.349M,2023-02-23 16:00:00
USD,1.0,Heating Oil Stockpiles,0.548M,,0.597M,2023-03-01 15:30:00
USD,1.0,Heating Oil Stockpiles,-0.650M,,0.548M,2023-03-08 15:30:00
USD,1.0,Heating Oil Stockpiles,-0.735M,,-0.650M,2023-03-15 14:30:00
USD,1.0,Heating Oil Stockpiles,0.578M,,-0.735M,2023-03-22 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.164M,,0.578M,2023-03-29 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.721M,-0.149M,-0.164M,2023-04-05 14:30:00
USD,1.0,Heating Oil Stockpiles,1.015M,0.171M,-0.721M,2023-04-12 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.260M,0.081M,1.015M,2023-04-19 14:30:00
USD,1.0,Heating Oil Stockpiles,0.151M,-0.285M,-0.260M,2023-04-26 14:30:00
USD,1.0,Heating Oil Stockpiles,0.648M,0.114M,0.151M,2023-05-03 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.417M,0.084M,0.648M,2023-05-10 14:30:00
USD,1.0,Heating Oil Stockpiles,0.454M,,-0.417M,2023-05-17 14:30:00
USD,1.0,Heating Oil Stockpiles,0.481M,0.024M,0.454M,2023-05-24 14:30:00
USD,1.0,Heating Oil Stockpiles,-1.289M,0.009M,0.481M,2023-06-01 15:00:00
USD,1.0,Heating Oil Stockpiles,-0.362M,-0.310M,-1.289M,2023-06-07 14:30:00
USD,1.0,Heating Oil Stockpiles,1.405M,0.100M,-0.362M,2023-06-14 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.380M,0.368M,1.405M,2023-06-22 15:00:00
USD,1.0,Heating Oil Stockpiles,-0.529M,-0.034M,-0.380M,2023-06-28 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.061M,0.371M,-0.529M,2023-07-06 15:00:00
USD,1.0,Heating Oil Stockpiles,0.439M,-0.234M,-0.061M,2023-07-12 14:30:00
USD,1.0,Heating Oil Stockpiles,0.223M,-0.108M,0.439M,2023-07-19 14:30:00
USD,1.0,Heating Oil Stockpiles,-1.002M,0.222M,0.223M,2023-07-26 14:30:00
USD,1.0,Heating Oil Stockpiles,0.230M,0.082M,-1.002M,2023-08-02 14:30:00
USD,1.0,Heating Oil Stockpiles,0.166M,0.361M,0.230M,2023-08-09 14:30:00
USD,1.0,Heating Oil Stockpiles,-0.101M,0.038M,0.166M,2023-08-16 14:30:00
USD,1.0,Heating Oil Stockpiles,0.502M,0.183M,-0.101M,2023-08-23 14:30:00
USD,1.0,Heating Oil Stockpiles,0.170M,0.197M,0.502M,2023-08-30 14:30:00
