Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,House Price Index (YoY) (Nov),8.20%,,9.80%,2023-01-31 14:00:00
USD,1.0,House Price Index (MoM) (Nov),-0.10%,-0.40%,0.00%,2023-01-31 14:00:00
USD,1.0,House Price Index (Nov),392.3,,392.8,2023-01-31 14:00:00
USD,1.0,House Price Index (YoY) (Dec),6.60%,,8.20%,2023-02-28 14:00:00
USD,1.0,House Price Index (Dec),392.1,,392.4,2023-02-28 14:00:00
USD,1.0,House Price Index (MoM) (Dec),-0.10%,-0.20%,-0.10%,2023-02-28 14:00:00
USD,1.0,House Price Index (Jan),393.2,,392.4,2023-03-28 13:00:00
USD,1.0,House Price Index (MoM) (Jan),0.20%,-0.20%,-0.10%,2023-03-28 13:00:00
USD,1.0,House Price Index (YoY) (Jan),5.30%,,6.70%,2023-03-28 13:00:00
USD,1.0,House Price Index (YoY) (Feb),4.00%,3.90%,5.30%,2023-04-25 13:00:00
USD,1.0,House Price Index (MoM) (Feb),0.50%,-0.10%,0.10%,2023-04-25 13:00:00
USD,1.0,House Price Index (Feb),394.8,392.8,393,2023-04-25 13:00:00
USD,1.0,House Price Index (Mar),398,393,395.5,2023-05-30 13:00:00
USD,1.0,House Price Index (YoY) (Mar),3.60%,2.40%,4.20%,2023-05-30 13:00:00
USD,1.0,House Price Index (MoM) (Mar),0.60%,0.20%,0.70%,2023-05-30 13:00:00
USD,1.0,House Price Index (YoY) (Apr),3.10%,3.10%,3.70%,2023-06-27 13:00:00
USD,1.0,House Price Index (Apr),401.2,402.1,398.3,2023-06-27 13:00:00
USD,1.0,House Price Index (MoM) (Apr),0.70%,0.30%,0.50%,2023-06-27 13:00:00
USD,1.0,House Price Index (YoY) (May),2.80%,2.60%,3.10%,2023-07-25 13:00:00
USD,1.0,House Price Index (MoM) (May),0.70%,0.20%,0.70%,2023-07-25 13:00:00
USD,1.0,House Price Index (May),404.1,404.6,401.2,2023-07-25 13:00:00
USD,1.0,House Price Index (MoM) (Jun),0.30%,0.20%,0.70%,2023-08-29 13:00:00
USD,1.0,House Price Index (YoY) (Jun),3.10%,,2.90%,2023-08-29 13:00:00
USD,1.0,House Price Index (Jun),405.8,,404.4,2023-08-29 13:00:00
USD,1.0,House Price Index (MoM) (Jul),0.80%,0.50%,0.40%,2023-09-26 13:00:00
USD,1.0,House Price Index (YoY) (Jul),4.60%,,3.20%,2023-09-26 13:00:00
USD,1.0,House Price Index (Jul),409.5,,406.1,2023-09-26 13:00:00
USD,1.0,House Price Index (Aug),411.8,,409.4,2023-10-31 13:00:00
USD,1.0,House Price Index (MoM) (Aug),0.60%,0.50%,0.80%,2023-10-31 13:00:00
USD,1.0,House Price Index (YoY) (Aug),5.60%,,4.60%,2023-10-31 13:00:00
USD,1.0,House Price Index (MoM) (Sep),0.60%,0.40%,0.70%,2023-11-28 14:00:00
USD,1.0,House Price Index (YoY) (Sep),6.10%,,5.80%,2023-11-28 14:00:00
USD,1.0,House Price Index (Sep),414.8,,412.2,2023-11-28 14:00:00
USD,1.0,House Price Index (MoM) (Oct),0.30%,0.50%,0.70%,2023-12-26 14:00:00
USD,1.0,House Price Index (YoY) (Oct),6.30%,,6.20%,2023-12-26 14:00:00
USD,1.0,House Price Index (Oct),416.3,,414.9,2023-12-26 14:00:00
USD,1.0,House Price Index (MoM) (Nov),0.30%,0.20%,0.30%,2024-01-30 14:00:00
USD,1.0,House Price Index (YoY) (Nov),6.60%,,6.30%,2024-01-30 14:00:00
USD,1.0,House Price Index (Nov),417.4,,416.1,2024-01-30 14:00:00
USD,1.0,House Price Index (YoY) (Dec),6.60%,,6.70%,2024-02-27 14:00:00
USD,1.0,House Price Index (MoM) (Dec),0.10%,0.30%,0.40%,2024-02-27 14:00:00
USD,1.0,House Price Index (Dec),417.8,,417.4,2024-02-27 14:00:00
USD,1.0,House Price Index (YoY) (Jan),6.30%,,6.70%,2024-03-26 13:00:00
USD,1.0,House Price Index (MoM) (Jan),-0.10%,0.20%,0.10%,2024-03-26 13:00:00
USD,1.0,House Price Index (Jan),417.5,,417.8,2024-03-26 13:00:00
USD,1.0,House Price Index (MoM) (Feb),1.20%,0.10%,-0.10%,2024-04-30 13:00:00
USD,1.0,House Price Index (YoY) (Feb),7.00%,,6.50%,2024-04-30 13:00:00
USD,1.0,House Price Index (Feb),423,,417.8,2024-04-30 13:00:00
USD,1.0,House Price Index (YoY) (Mar),,,7.00%,2024-05-28 13:00:00
USD,1.0,House Price Index (MoM) (Mar),,,1.20%,2024-05-28 13:00:00
USD,1.0,House Price Index (Mar),,,423,2024-05-28 13:00:00
