Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,House Price Index (MoM) (Nov),-0.10%,-0.40%,0.00%,2023-01-31 14:00:00
USD,1.0,House Price Index (MoM) (Dec),-0.10%,-0.20%,-0.10%,2023-02-28 14:00:00
USD,1.0,House Price Index (MoM) (Jan),0.20%,-0.20%,-0.10%,2023-03-28 13:00:00
USD,1.0,House Price Index (MoM) (Feb),0.50%,-0.10%,0.10%,2023-04-25 13:00:00
USD,1.0,House Price Index (MoM) (Mar),0.60%,0.20%,0.70%,2023-05-30 13:00:00
USD,1.0,House Price Index (MoM) (Apr),0.70%,0.30%,0.50%,2023-06-27 13:00:00
USD,1.0,House Price Index (MoM) (May),0.70%,0.20%,0.70%,2023-07-25 13:00:00
USD,1.0,House Price Index (MoM) (Jun),0.30%,0.20%,0.70%,2023-08-29 13:00:00
USD,1.0,House Price Index (MoM) (Jul),0.80%,0.50%,0.40%,2023-09-26 13:00:00
USD,1.0,House Price Index (MoM) (Aug),0.60%,0.50%,0.80%,2023-10-31 13:00:00
USD,1.0,House Price Index (MoM) (Sep),0.60%,0.40%,0.70%,2023-11-28 14:00:00
USD,1.0,House Price Index (MoM) (Oct),0.30%,0.50%,0.70%,2023-12-26 14:00:00
USD,1.0,House Price Index (MoM) (Nov),0.30%,0.20%,0.30%,2024-01-30 14:00:00
USD,1.0,House Price Index (MoM) (Dec),0.10%,0.30%,0.40%,2024-02-27 14:00:00
USD,1.0,House Price Index (MoM) (Jan),-0.10%,0.20%,0.10%,2024-03-26 13:00:00
USD,1.0,House Price Index (MoM) (Feb),1.20%,0.10%,-0.10%,2024-04-30 13:00:00
USD,1.0,House Price Index (MoM) (Mar),,,1.20%,2024-05-28 13:00:00
