Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,House Price Index (YoY) (Nov),8.20%,,9.80%,1/31/2023 14:00
USD,1.0,House Price Index (YoY) (Dec),6.60%,,8.20%,2/28/2023 14:00
USD,1.0,House Price Index (YoY) (Jan),5.30%,,6.70%,3/28/2023 13:00
USD,1.0,House Price Index (YoY) (Feb),4.00%,3.90%,5.30%,4/25/2023 13:00
USD,1.0,House Price Index (YoY) (Mar),3.60%,2.40%,4.20%,5/30/2023 13:00
USD,1.0,House Price Index (YoY) (Apr),3.10%,3.10%,3.70%,6/27/2023 13:00
USD,1.0,House Price Index (YoY) (May),2.80%,2.60%,3.10%,7/25/2023 13:00
USD,1.0,House Price Index (YoY) (Jun),3.10%,,2.90%,8/29/2023 13:00
USD,1.0,House Price Index (YoY) (Jul),4.60%,,3.20%,9/26/2023 13:00
USD,1.0,House Price Index (YoY) (Aug),5.60%,,4.60%,10/31/2023 13:00
USD,1.0,House Price Index (YoY) (Sep),6.10%,,5.80%,11/28/2023 14:00
USD,1.0,House Price Index (YoY) (Oct),6.30%,,6.20%,12/26/2023 14:00
USD,1.0,House Price Index (YoY) (Nov),6.60%,,6.30%,1/30/2024 14:00
USD,1.0,House Price Index (YoY) (Dec),6.60%,,6.70%,2/27/2024 14:00
USD,1.0,House Price Index (YoY) (Jan),6.30%,,6.70%,3/26/2024 13:00
USD,1.0,House Price Index (YoY) (Feb),7.00%,,6.50%,4/30/2024 13:00
