Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,IBD/TIPP Economic Optimism,42.3,41.7,42.9,1/10/2023 15:00
USD,1.0,IBD/TIPP Economic Optimism,45.1,,42.3,2/7/2023 15:00
USD,1.0,IBD/TIPP Economic Optimism,46.9,,45.1,3/7/2023 15:00
USD,1.0,IBD/TIPP Economic Optimism,47.4,,46.9,4/4/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,41.6,48.2,47.4,5/8/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,41.7,45.2,41.6,6/6/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,41.3,45.3,41.7,7/11/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,40.3,43,41.3,8/8/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,43.2,41.1,40.3,9/6/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,36.3,41.6,43.2,10/3/2023 14:00
USD,1.0,IBD/TIPP Economic Optimism,44.5,40.2,36.3,11/13/2023 11:40
USD,1.0,IBD/TIPP Economic Optimism,40,45.2,44.5,12/5/2023 15:00
USD,1.0,IBD/TIPP Economic Optimism,44.7,42,40,1/9/2024 15:00
USD,1.0,IBD/TIPP Economic Optimism,44,47.2,44.7,2/6/2024 15:10
USD,1.0,IBD/TIPP Economic Optimism,43.5,45.2,44,3/6/2024 15:30
USD,1.0,IBD/TIPP Economic Optimism,43.2,44.2,43.5,4/9/2024 14:00
