Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,ISM Manufacturing Employment (Dec),51.4,48.3,48.4,1/4/2023 15:00
USD,2.0,ISM Manufacturing Employment (Jan),50.6,49,50.8,2/1/2023 15:00
USD,2.0,ISM Manufacturing Employment (Feb),49.1,,50.6,3/1/2023 15:00
USD,2.0,ISM Manufacturing Employment (Mar),46.9,50,49.1,4/3/2023 14:00
USD,2.0,ISM Manufacturing Employment (Apr),50.2,47.9,46.9,5/1/2023 14:00
USD,2.0,ISM Manufacturing Employment (May),51.4,48.5,50.2,6/1/2023 14:00
USD,2.0,ISM Manufacturing Employment (Jun),48.1,50.8,51.4,7/3/2023 14:00
USD,2.0,ISM Manufacturing Employment (Jul),44.4,48,48.1,8/1/2023 14:00
USD,2.0,ISM Manufacturing Employment (Aug),48.5,44.2,44.4,9/1/2023 14:00
USD,2.0,ISM Manufacturing Employment (Sep),51.2,48.3,48.5,10/2/2023 14:00
USD,2.0,ISM Manufacturing Employment (Oct),46.8,50.3,51.2,11/1/2023 14:00
USD,2.0,ISM Manufacturing Employment (Nov),45.8,,46.8,12/1/2023 15:00
USD,2.0,ISM Manufacturing Employment (Dec),48.1,46.5,45.8,1/3/2024 15:00
USD,2.0,ISM Manufacturing Employment (Jan),47.1,47,47.5,2/1/2024 15:00
USD,2.0,ISM Manufacturing Employment (Feb),45.9,,47.1,3/1/2024 15:00
USD,2.0,ISM Manufacturing Employment (Mar),47.4,47.5,45.9,4/1/2024 14:00
