Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,ISM Manufacturing New Orders Index (Dec),45.2,,47.2,1/4/2023 15:00
USD,1.0,ISM Manufacturing New Orders Index (Jan),42.5,,45.1,2/1/2023 15:00
USD,1.0,ISM Manufacturing New Orders Index (Feb),47,,42.5,3/1/2023 15:00
USD,1.0,ISM Manufacturing New Orders Index (Mar),44.3,49,47,4/3/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Apr),45.7,45.5,44.3,5/1/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (May),42.6,44.9,45.7,6/1/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Jun),45.6,44,42.6,7/3/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Jul),47.3,44,45.6,8/1/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Aug),46.8,,47.3,9/1/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Sep),49.2,,46.8,10/2/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Oct),45.5,,49.2,11/1/2023 14:00
USD,1.0,ISM Manufacturing New Orders Index (Nov),48.3,,45.5,12/1/2023 15:00
USD,1.0,ISM Manufacturing New Orders Index (Dec),47.1,49.1,48.3,1/3/2024 15:00
USD,1.0,ISM Manufacturing New Orders Index (Jan),52.5,48.2,47,2/1/2024 15:00
USD,1.0,ISM Manufacturing New Orders Index (Feb),49.2,,52.5,3/1/2024 15:00
USD,1.0,ISM Manufacturing New Orders Index (Mar),51.4,49.8,49.2,4/1/2024 14:00
