Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,ISM Manufacturing PMI (Dec),48.4,48.5,49,2023-01-04 15:00:00
USD,3.0,ISM Manufacturing PMI (Jan),47.4,48,48.4,2023-02-01 15:00:00
USD,3.0,ISM Manufacturing PMI (Feb),47.7,48,47.4,2023-03-01 15:00:00
USD,3.0,ISM Manufacturing PMI (Mar),46.3,47.5,47.7,2023-04-03 14:00:00
USD,3.0,ISM Manufacturing PMI (Apr),47.1,46.8,46.3,2023-05-01 14:00:00
USD,3.0,ISM Manufacturing PMI (May),46.9,47,47.1,2023-06-01 14:00:00
USD,3.0,ISM Manufacturing PMI (Jun),46,47.2,46.9,2023-07-03 14:00:00
USD,3.0,ISM Manufacturing PMI (Jul),46.4,46.8,46,2023-08-01 14:00:00
USD,3.0,ISM Manufacturing PMI (Aug),47.6,47,46.4,2023-09-01 14:00:00
USD,3.0,ISM Manufacturing PMI (Sep),49,47.7,47.6,2023-10-02 14:00:00
USD,3.0,ISM Manufacturing PMI (Oct),46.7,49,49,2023-11-01 14:00:00
USD,3.0,ISM Manufacturing PMI (Nov),46.7,47.6,46.7,2023-12-01 15:00:00
USD,3.0,ISM Manufacturing PMI (Dec),47.4,47.1,46.7,2024-01-03 15:00:00
USD,3.0,ISM Manufacturing PMI (Jan),49.1,47.2,47.1,2024-02-01 15:00:00
USD,3.0,ISM Manufacturing PMI (Feb),47.8,49.5,49.1,2024-03-01 15:00:00
USD,3.0,ISM Manufacturing PMI (Mar),50.3,48.5,47.8,2024-04-01 14:00:00
USD,3.0,ISM Manufacturing PMI (Apr),49.2,50,50.3,2024-05-01 14:00:00
USD,3.0,ISM Manufacturing PMI (May),,,49.2,2024-06-03 14:00:00
