Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,ISM Non-Manufacturing Employment (Dec),49.8,,51.5,1/6/2023 15:00
USD,2.0,ISM Non-Manufacturing Employment (Jan),50,,49.4,2/3/2023 15:00
USD,2.0,ISM Non-Manufacturing Employment (Feb),54,,50,3/3/2023 15:00
USD,2.0,ISM Non-Manufacturing Employment (Mar),51.3,53,54,4/5/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Apr),50.8,52.6,51.3,5/3/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (May),49.2,51,50.8,6/5/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Jun),53.1,49.9,49.2,7/6/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Jul),50.7,51.1,53.1,8/3/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Aug),54.7,,50.7,9/6/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Sep),53.4,,54.7,10/4/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Oct),50.2,53.5,53.4,11/3/2023 14:00
USD,2.0,ISM Non-Manufacturing Employment (Nov),50.7,51.4,50.2,12/5/2023 15:00
USD,2.0,ISM Non-Manufacturing Employment (Dec),43.3,51,50.7,1/5/2024 15:00
USD,2.0,ISM Non-Manufacturing Employment (Jan),50.5,49.4,43.8,2/5/2024 15:00
USD,2.0,ISM Non-Manufacturing Employment (Feb),48,51.4,50.5,3/5/2024 15:00
USD,2.0,ISM Non-Manufacturing Employment (Mar),48.5,49,48,4/3/2024 14:00
