Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,ISM Non-Manufacturing New Orders (Dec),45.2,,56,2023-01-06 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Jan),60.4,,45.2,2023-02-03 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Feb),62.6,,60.4,2023-03-03 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Mar),52.2,62,62.6,2023-04-05 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Apr),56.1,57,52.2,2023-05-03 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (May),52.9,56.5,56.1,2023-06-05 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Jun),55.5,55.9,52.9,2023-07-06 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Jul),55,55.6,55.5,2023-08-03 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Aug),57.5,,55,2023-09-06 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Sep),51.8,,57.5,2023-10-04 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Oct),55.5,51.5,51.8,2023-11-03 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Nov),55.5,54.9,55.5,2023-12-05 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Dec),52.8,56.1,55.5,2024-01-05 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Jan),55,54.8,52.8,2024-02-05 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Feb),56.1,54.4,55,2024-03-05 15:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Mar),54.4,55.5,56.1,2024-04-03 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (Apr),52.2,54.5,54.4,2024-05-03 14:00:00
USD,1.0,ISM Non-Manufacturing New Orders (May),,,52.2,2024-06-05 14:00:00
