Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,ISM Non-Manufacturing PMI (Dec),49.6,55,56.5,1/6/2023 15:00
USD,3.0,ISM Non-Manufacturing PMI (Jan),55.2,50.4,49.2,2/3/2023 15:00
USD,3.0,ISM Non-Manufacturing PMI (Feb),55.1,54.5,55.2,3/3/2023 15:00
USD,3.0,ISM Non-Manufacturing PMI (Mar),51.2,54.5,55.1,4/5/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Apr),51.9,51.8,51.2,5/3/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (May),50.3,52.2,51.9,6/5/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Jun),53.9,51,50.3,7/6/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Jul),52.7,53,53.9,8/3/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Aug),54.5,52.5,52.7,9/6/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Sep),53.6,53.6,54.5,10/4/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Oct),51.8,53,53.6,11/3/2023 14:00
USD,3.0,ISM Non-Manufacturing PMI (Nov),52.7,52,51.8,12/5/2023 15:00
USD,3.0,ISM Non-Manufacturing PMI (Dec),50.6,52.6,52.7,1/5/2024 15:00
USD,3.0,ISM Non-Manufacturing PMI (Jan),53.4,52,50.5,2/5/2024 15:00
USD,3.0,ISM Non-Manufacturing PMI (Feb),52.6,53,53.4,3/5/2024 15:00
USD,3.0,ISM Non-Manufacturing PMI (Mar),51.4,52.8,52.6,4/3/2024 14:00
