Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Import Price Index (MoM) (Dec),0.40%,-0.90%,-0.70%,1/13/2023 13:30
USD,2.0,Import Price Index (MoM) (Jan),-0.20%,-0.20%,-0.10%,2/17/2023 13:30
USD,2.0,Import Price Index (MoM) (Feb),-0.10%,-0.20%,-0.40%,3/16/2023 12:30
USD,2.0,Import Price Index (MoM) (Mar),-0.60%,-0.10%,-0.20%,4/14/2023 12:30
USD,2.0,Import Price Index (MoM) (Apr),0.40%,0.30%,-0.80%,5/12/2023 12:30
USD,2.0,Import Price Index (MoM) (May),-0.60%,-0.60%,0.30%,6/15/2023 12:30
USD,2.0,Import Price Index (MoM) (Jun),-0.20%,-0.10%,-0.40%,7/14/2023 12:30
USD,2.0,Import Price Index (MoM) (Jul),0.40%,0.20%,-0.10%,8/15/2023 12:30
USD,2.0,Import Price Index (MoM) (Aug),0.50%,0.30%,0.10%,9/15/2023 12:30
USD,2.0,Import Price Index (MoM) (Sep),0.10%,0.50%,0.60%,10/13/2023 12:30
USD,2.0,Import Price Index (MoM) (Oct),-0.80%,-0.30%,0.40%,11/16/2023 13:30
USD,2.0,Import Price Index (MoM) (Nov),-0.40%,-0.80%,-0.60%,12/14/2023 13:30
USD,2.0,Import Price Index (MoM) (Dec),0.00%,-0.50%,-0.50%,1/17/2024 13:30
USD,2.0,Import Price Index (MoM) (Jan),0.80%,0.00%,-0.70%,2/15/2024 13:30
USD,2.0,Import Price Index (MoM) (Feb),0.30%,0.30%,0.80%,3/15/2024 12:30
USD,2.0,Import Price Index (MoM) (Mar),0.40%,0.30%,0.30%,4/11/2024 12:30
