Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Import Price Index ex Petroleum (MoM),0.80%,,-0.30%,1/13/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),0.20%,,0.70%,2/17/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.40%,,0.30%,3/16/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.60%,,-0.30%,4/14/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.10%,,-0.60%,5/12/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.20%,,-0.20%,6/15/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.30%,,-0.20%,7/14/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),0.00%,,-0.30%,8/15/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),0.00%,,0.00%,9/15/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.30%,,-0.10%,10/13/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),-0.20%,,-0.20%,11/16/2023 12:30
USD,1.0,Import Price Index ex Petroleum (MoM),0.20%,,-0.20%,12/14/2023 12:30
