Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Initial Jobless Claims,204K,225K,223K,1/5/2023 13:30
USD,3.0,Initial Jobless Claims,205K,215K,206K,1/12/2023 13:30
USD,3.0,Initial Jobless Claims,190K,214K,205K,1/19/2023 13:30
USD,3.0,Initial Jobless Claims,186K,205K,192K,1/26/2023 13:30
USD,3.0,Initial Jobless Claims,183K,200K,186K,2/2/2023 13:30
USD,3.0,Initial Jobless Claims,196K,190K,183K,2/9/2023 13:30
USD,3.0,Initial Jobless Claims,194K,200K,195K,2/16/2023 13:30
USD,3.0,Initial Jobless Claims,192K,200K,195K,2/23/2023 13:30
USD,3.0,Initial Jobless Claims,190K,195K,192K,3/2/2023 13:30
USD,3.0,Initial Jobless Claims,211K,195K,190K,3/9/2023 13:30
USD,3.0,Initial Jobless Claims,192K,205K,212K,3/16/2023 12:30
USD,3.0,Initial Jobless Claims,191K,197K,192K,3/23/2023 12:30
USD,3.0,Initial Jobless Claims,198K,196K,191K,3/30/2023 12:30
USD,3.0,Initial Jobless Claims,228K,200K,246K,4/6/2023 12:30
USD,3.0,Initial Jobless Claims,239K,232K,228K,4/13/2023 12:30
USD,3.0,Initial Jobless Claims,245K,240K,240K,4/20/2023 12:30
USD,3.0,Initial Jobless Claims,230K,248K,246K,4/27/2023 12:30
USD,3.0,Initial Jobless Claims,242K,240K,229K,5/4/2023 12:30
USD,3.0,Initial Jobless Claims,264K,245K,242K,5/11/2023 12:30
USD,3.0,Initial Jobless Claims,242K,254K,264K,5/18/2023 12:30
USD,3.0,Initial Jobless Claims,229K,250K,225K,5/25/2023 12:30
USD,3.0,Initial Jobless Claims,232K,235K,230K,6/1/2023 12:30
USD,3.0,Initial Jobless Claims,261K,235K,233K,6/8/2023 12:30
USD,3.0,Initial Jobless Claims,262K,250K,262K,6/15/2023 12:30
USD,3.0,Initial Jobless Claims,264K,260K,264K,6/22/2023 12:30
USD,3.0,Initial Jobless Claims,239K,266K,265K,6/29/2023 12:30
USD,3.0,Initial Jobless Claims,248K,245K,236K,7/6/2023 12:30
USD,3.0,Initial Jobless Claims,237K,250K,249K,7/13/2023 12:30
USD,3.0,Initial Jobless Claims,228K,242K,237K,7/20/2023 12:30
USD,3.0,Initial Jobless Claims,221K,235K,228K,7/27/2023 12:30
USD,3.0,Initial Jobless Claims,227K,227K,221K,8/3/2023 12:30
USD,3.0,Initial Jobless Claims,248K,230K,227K,8/10/2023 12:30
USD,3.0,Initial Jobless Claims,239K,240K,250K,8/17/2023 12:30
USD,3.0,Initial Jobless Claims,230K,240K,240K,8/24/2023 12:30
USD,3.0,Initial Jobless Claims,228K,235K,232K,8/31/2023 12:30
USD,3.0,Initial Jobless Claims,216K,234K,229K,9/7/2023 12:30
USD,3.0,Initial Jobless Claims,220K,225K,217K,9/14/2023 12:30
USD,3.0,Initial Jobless Claims,201K,225K,221K,9/21/2023 12:30
USD,3.0,Initial Jobless Claims,204K,215K,202K,9/28/2023 12:30
USD,3.0,Initial Jobless Claims,207K,210K,205K,10/5/2023 12:30
USD,3.0,Initial Jobless Claims,209K,210K,209K,10/12/2023 12:30
USD,3.0,Initial Jobless Claims,198K,212K,211K,10/19/2023 12:30
USD,3.0,Initial Jobless Claims,210K,208K,200K,10/26/2023 12:30
USD,3.0,Initial Jobless Claims,217K,210K,212K,11/2/2023 12:30
USD,3.0,Initial Jobless Claims,217K,215K,220K,11/9/2023 13:30
USD,3.0,Initial Jobless Claims,231K,220K,218K,11/16/2023 13:30
USD,3.0,Initial Jobless Claims,209K,225K,233K,11/22/2023 13:30
USD,3.0,Initial Jobless Claims,218K,220K,211K,11/30/2023 13:30
USD,3.0,Initial Jobless Claims,220K,222K,219K,12/7/2023 13:30
USD,3.0,Initial Jobless Claims,202K,220K,221K,12/14/2023 13:30
USD,3.0,Initial Jobless Claims,205K,214K,203K,12/21/2023 13:30
USD,3.0,Initial Jobless Claims,218K,210K,206K,12/28/2023 13:30
USD,3.0,Initial Jobless Claims,202K,216K,220K,1/4/2024 13:30
USD,3.0,Initial Jobless Claims,202K,210K,203K,1/11/2024 13:30
USD,3.0,Initial Jobless Claims,187K,207K,203K,1/18/2024 13:30
USD,3.0,Initial Jobless Claims,214K,200K,189K,1/25/2024 13:30
USD,3.0,Initial Jobless Claims,224K,213K,215K,2/1/2024 13:30
USD,3.0,Initial Jobless Claims,218K,221K,227K,2/8/2024 13:30
USD,3.0,Initial Jobless Claims,212K,219K,220K,2/15/2024 13:30
USD,3.0,Initial Jobless Claims,201K,217K,213K,2/22/2024 13:30
USD,3.0,Initial Jobless Claims,215K,209K,202K,2/29/2024 13:30
USD,3.0,Initial Jobless Claims,217K,217K,217K,3/7/2024 13:30
USD,3.0,Initial Jobless Claims,209K,218K,210K,3/14/2024 12:30
USD,3.0,Initial Jobless Claims,210K,212K,212K,3/21/2024 12:30
USD,3.0,Initial Jobless Claims,210K,212K,212K,3/28/2024 12:30
USD,3.0,Initial Jobless Claims,221K,213K,212K,4/4/2024 12:30
USD,3.0,Initial Jobless Claims,211K,216K,222K,4/11/2024 12:30
USD,3.0,Initial Jobless Claims,212K,215K,212K,4/18/2024 12:30
USD,3.0,Initial Jobless Claims,207K,214K,212K,4/25/2024 12:30
