Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,JOLTs Job Openings (Nov),10.458M,10.000M,10.512M,1/4/2023 15:00
USD,3.0,JOLTs Job Openings (Dec),11.012M,10.250M,10.440M,2/1/2023 15:00
USD,3.0,JOLTs Job Openings (Jan),10.824M,10.500M,11.234M,3/8/2023 15:00
USD,3.0,JOLTs Job Openings (Feb),9.931M,10.400M,10.563M,4/4/2023 14:00
USD,3.0,JOLTs Job Openings (Mar),9.590M,9.775M,9.974M,5/2/2023 14:00
USD,3.0,JOLTs Job Openings (Apr),10.103M,9.775M,9.745M,5/31/2023 14:00
USD,3.0,JOLTs Job Openings (May),9.824M,9.935M,10.320M,7/6/2023 14:00
USD,3.0,JOLTs Job Openings (Jun),9.582M,9.610M,9.616M,8/1/2023 14:00
USD,3.0,JOLTs Job Openings (Jul),8.827M,9.465M,9.165M,8/29/2023 14:00
USD,3.0,JOLTs Job Openings (Aug),9.610M,8.800M,8.920M,10/3/2023 14:00
USD,3.0,JOLTs Job Openings (Sep),9.553M,9.250M,9.497M,11/1/2023 14:00
USD,3.0,JOLTs Job Openings (Oct),8.733M,9.300M,9.350M,12/5/2023 15:00
USD,3.0,JOLTs Job Openings (Nov),8.790M,8.850M,8.852M,1/3/2024 15:00
USD,3.0,JOLTs Job Openings (Dec),9.026M,8.750M,8.925M,1/30/2024 15:00
USD,3.0,JOLTs Job Openings (Jan),8.863M,8.800M,8.889M,3/6/2024 15:00
USD,3.0,JOLTs Job Openings (Feb),8.756M,8.760M,8.748M,4/2/2024 14:00
