Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Jobless Claims 4-Week Avg.,213.75K,,220.50K,2023-01-05 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,212.50K,,214.25K,2023-01-12 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,206.00K,,212.50K,2023-01-19 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,197.50K,,206.75K,2023-01-26 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,191.75K,,197.50K,2023-02-02 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,189.25K,,191.75K,2023-02-09 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,189.50K,,189.00K,2023-02-16 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,191.25K,,189.75K,2023-02-23 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,193.00K,,191.25K,2023-03-02 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,197.00K,,193.00K,2023-03-09 13:30:00
USD,1.0,Jobless Claims 4-Week Avg.,196.50K,,197.25K,2023-03-16 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,196.25K,,196.50K,2023-03-23 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,198.25K,,196.25K,2023-03-30 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,237.75K,196.50K,242.00K,2023-04-06 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,240.00K,253.17K,237.75K,2023-04-13 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,239.75K,255.15K,240.25K,2023-04-20 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,236.00K,,240.00K,2023-04-27 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,239.25K,217.09K,235.75K,2023-05-04 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,245.25K,220.35K,239.25K,2023-05-11 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,244.25K,245.94K,245.25K,2023-05-18 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,231.75K,258.97K,231.75K,2023-05-25 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,229.50K,,232.00K,2023-06-01 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,237.25K,209.67K,229.75K,2023-06-08 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,246.75K,233.38K,237.50K,2023-06-15 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,255.75K,242.01K,247.25K,2023-06-22 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,257.50K,251.27K,256.00K,2023-06-29 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,253.25K,256.64K,256.75K,2023-07-06 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,246.75K,255.39K,253.50K,2023-07-13 12:30:00
USD,1.0,Jobless Claims 4-Week Avg.,237.50K,250.01K,246.75K,2023-07-20 12:30:00
