Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,KC Fed Composite Index (Jan),-1,,-4,2023-01-26 16:00:00
USD,1.0,KC Fed Composite Index (Feb),0,,-1,2023-02-23 16:00:00
USD,1.0,KC Fed Composite Index (Mar),0,,0,2023-03-23 15:00:00
USD,1.0,KC Fed Composite Index (Apr),-10,0,0,2023-04-27 15:00:00
USD,1.0,KC Fed Composite Index (May),-1,-5,-10,2023-05-25 15:00:00
USD,1.0,KC Fed Composite Index (Jun),-12,-5,-1,2023-06-22 15:00:00
USD,1.0,KC Fed Composite Index (Jul),-11,-7,-12,2023-07-27 15:00:00
USD,1.0,KC Fed Composite Index (Aug),0,,-11,2023-08-24 15:00:00
USD,1.0,KC Fed Composite Index (Sep),-8,,0,2023-09-28 15:00:00
USD,1.0,KC Fed Composite Index (Oct),-8,,-8,2023-10-26 15:00:00
USD,1.0,KC Fed Composite Index (Nov),-2,,-8,2023-11-16 16:00:00
USD,1.0,KC Fed Composite Index (Dec),-1,,-2,2023-12-21 16:00:00
USD,1.0,KC Fed Composite Index (Jan),-9,,-1,2024-01-25 16:00:00
USD,1.0,KC Fed Composite Index (Feb),-4,,-9,2024-02-29 16:00:00
USD,1.0,KC Fed Composite Index (Mar),-7,,-4,2024-03-28 15:00:00
USD,1.0,KC Fed Composite Index (Apr),-8,-5,-7,2024-04-25 15:00:00
USD,1.0,KC Fed Composite Index (May),,,-8,2024-05-23 15:00:00
