Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,KC Fed Manufacturing Index (Jan),-4,,-6,1/26/2023 16:00
USD,1.0,KC Fed Manufacturing Index (Feb),-9,,-4,2/23/2023 16:00
USD,1.0,KC Fed Manufacturing Index (Mar),3,,-9,3/23/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Apr),-21,3,3,4/27/2023 15:00
USD,1.0,KC Fed Manufacturing Index (May),-2,3,-21,5/25/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Jun),-10,-11,-2,6/22/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Jul),-20,-6,-10,7/27/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Aug),12,,-20,8/24/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Sep),-13,,12,9/28/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Oct),-8,,-13,10/26/2023 15:00
USD,1.0,KC Fed Manufacturing Index (Nov),-3,,-8,11/16/2023 16:00
USD,1.0,KC Fed Manufacturing Index (Dec),-4,,-3,12/21/2023 16:00
USD,1.0,KC Fed Manufacturing Index (Jan),-17,,-5,1/25/2024 16:00
USD,1.0,KC Fed Manufacturing Index (Feb),3,,-17,2/29/2024 16:00
USD,1.0,KC Fed Manufacturing Index (Mar),-9,,3,3/28/2024 15:00
USD,1.0,KC Fed Manufacturing Index (Apr),-13,,-9,4/25/2024 15:00
