Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,MBA Purchase Index,160.2,,182.5,1/4/2023 12:00
USD,1.0,MBA Purchase Index,159.4,,160.2,1/11/2023 12:00
USD,1.0,MBA Purchase Index,198.7,,159.4,1/18/2023 12:00
USD,1.0,MBA Purchase Index,205.4,,198.7,1/25/2023 12:00
USD,1.0,MBA Purchase Index,184.3,,205.4,2/1/2023 12:00
USD,1.0,MBA Purchase Index,190,,184.3,2/8/2023 12:00
USD,1.0,MBA Purchase Index,179.6,,190,2/15/2023 12:00
USD,1.0,MBA Purchase Index,147.1,,179.6,2/22/2023 12:00
USD,1.0,MBA Purchase Index,138.8,,147.1,3/1/2023 12:00
USD,1.0,MBA Purchase Index,154.4,,138.8,3/8/2023 12:00
USD,1.0,MBA Purchase Index,165.6,,154.4,3/15/2023 11:00
USD,1.0,MBA Purchase Index,169.3,,165.6,3/22/2023 11:00
USD,1.0,MBA Purchase Index,172.7,,169.3,3/29/2023 11:00
USD,1.0,MBA Purchase Index,166.6,,172.7,4/5/2023 11:00
USD,1.0,MBA Purchase Index,179.6,,166.6,4/12/2023 11:00
USD,1.0,MBA Purchase Index,161.6,,179.6,4/19/2023 11:00
USD,1.0,MBA Purchase Index,169.1,,161.6,4/26/2023 11:00
USD,1.0,MBA Purchase Index,165.8,,169.1,5/3/2023 11:00
USD,1.0,MBA Purchase Index,173.7,,165.8,5/10/2023 11:00
USD,1.0,MBA Purchase Index,165.4,,173.7,5/17/2023 11:00
USD,1.0,MBA Purchase Index,158.3,,165.4,5/24/2023 11:00
USD,1.0,MBA Purchase Index,154.4,,158.3,5/31/2023 11:00
USD,1.0,MBA Purchase Index,151.7,,154.4,6/7/2023 11:00
USD,1.0,MBA Purchase Index,163.2,,151.7,6/14/2023 11:00
USD,1.0,MBA Purchase Index,165.6,,163.2,6/21/2023 11:00
USD,1.0,MBA Purchase Index,170.3,,165.6,6/28/2023 11:00
USD,1.0,MBA Purchase Index,162.4,,170.3,7/6/2023 11:00
USD,1.0,MBA Purchase Index,165.3,,162.4,7/12/2023 11:00
USD,1.0,MBA Purchase Index,163.2,,165.3,7/19/2023 11:00
USD,1.0,MBA Purchase Index,159.2,,163.2,7/26/2023 11:00
USD,1.0,MBA Purchase Index,154.1,,159.2,8/2/2023 11:00
USD,1.0,MBA Purchase Index,149.9,,154.1,8/9/2023 11:00
USD,1.0,MBA Purchase Index,149.5,,149.9,8/16/2023 11:00
USD,1.0,MBA Purchase Index,142,,149.5,8/23/2023 11:00
USD,1.0,MBA Purchase Index,144.9,,142,8/30/2023 11:00
USD,1.0,MBA Purchase Index,141.9,,144.9,9/6/2023 11:00
USD,1.0,MBA Purchase Index,143.7,,141.9,9/13/2023 11:00
USD,1.0,MBA Purchase Index,147,,143.7,9/20/2023 11:00
USD,1.0,MBA Purchase Index,144.8,,147,9/27/2023 11:00
USD,1.0,MBA Purchase Index,136.6,,144.8,10/4/2023 11:00
USD,1.0,MBA Purchase Index,137.5,,136.6,10/11/2023 11:00
USD,1.0,MBA Purchase Index,129.8,,137.5,10/18/2023 11:00
USD,1.0,MBA Purchase Index,127,,129.8,10/25/2023 11:00
USD,1.0,MBA Purchase Index,125.2,,127,11/1/2023 11:00
USD,1.0,MBA Purchase Index,129,,125.2,11/8/2023 12:00
USD,1.0,MBA Purchase Index,133.2,,129,11/15/2023 12:00
USD,1.0,MBA Purchase Index,138.4,,133.2,11/22/2023 12:00
USD,1.0,MBA Purchase Index,144.9,,138.4,11/29/2023 12:00
USD,1.0,MBA Purchase Index,144.5,,144.9,12/6/2023 12:00
USD,1.0,MBA Purchase Index,149.6,,144.5,12/13/2023 12:00
USD,1.0,MBA Purchase Index,148.7,,149.6,12/20/2023 12:00
USD,1.0,MBA Purchase Index,140.7,,148.7,1/3/2024 12:00
USD,1.0,MBA Purchase Index,148.6,,140.7,1/10/2024 12:00
USD,1.0,MBA Purchase Index,162.2,,148.6,1/17/2024 12:00
USD,1.0,MBA Purchase Index,174.3,,162.2,1/24/2024 12:00
USD,1.0,MBA Purchase Index,154.5,,174.3,1/31/2024 12:00
USD,1.0,MBA Purchase Index,153.5,,154.5,2/7/2024 12:00
USD,1.0,MBA Purchase Index,149.6,,153.5,2/14/2024 12:00
USD,1.0,MBA Purchase Index,133.6,,149.6,2/21/2024 12:00
USD,1.0,MBA Purchase Index,127.6,,133.6,2/28/2024 12:00
USD,1.0,MBA Purchase Index,141.1,,127.6,3/6/2024 12:00
USD,1.0,MBA Purchase Index,147.7,,141.1,3/13/2024 11:00
USD,1.0,MBA Purchase Index,146,,147.7,3/20/2024 11:00
USD,1.0,MBA Purchase Index,145.7,,146,3/27/2024 11:00
USD,1.0,MBA Purchase Index,145.6,,145.7,4/3/2024 11:00
USD,1.0,MBA Purchase Index,138.7,,145.6,4/10/2024 11:00
USD,1.0,MBA Purchase Index,145.6,,138.7,4/17/2024 11:00
USD,1.0,MBA Purchase Index,144.2,,145.6,4/24/2024 11:00
