Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Manufacturing Payrolls (Dec),8K,10K,8K,2023-01-06 13:30:00
USD,1.0,Manufacturing Payrolls (Jan),19K,6K,12K,2023-02-03 13:30:00
USD,1.0,Manufacturing Payrolls (Feb),-4K,12K,13K,2023-03-10 13:30:00
USD,1.0,Manufacturing Payrolls (Mar),-1K,5K,-1K,2023-04-07 12:30:00
USD,1.0,Manufacturing Payrolls (Apr),11K,-5K,-8K,2023-05-04 12:30:00
USD,1.0,Manufacturing Payrolls (May),-2K,8K,10K,2023-06-02 12:30:00
USD,1.0,Manufacturing Payrolls (Jun),7K,0K,-3K,2023-07-07 12:30:00
USD,1.0,Manufacturing Payrolls (Jul),-2K,5K,6K,2023-08-04 12:30:00
USD,1.0,Manufacturing Payrolls (Aug),16K,0K,-4K,2023-09-01 12:30:00
USD,1.0,Manufacturing Payrolls (Sep),17K,5K,11K,2023-10-06 12:30:00
USD,1.0,Manufacturing Payrolls (Oct),-35K,-10K,14K,2023-11-03 12:30:00
USD,1.0,Manufacturing Payrolls (Nov),28K,30K,-35K,2023-12-08 13:30:00
USD,1.0,Manufacturing Payrolls (Dec),6K,5K,26K,2024-01-05 13:30:00
USD,1.0,Manufacturing Payrolls (Jan),23K,5K,8K,2024-02-02 13:30:00
USD,1.0,Manufacturing Payrolls (Feb),-4K,10K,8K,2024-03-08 13:30:00
USD,1.0,Manufacturing Payrolls (Mar),0K,5K,-10K,2024-04-05 12:30:00
USD,1.0,Manufacturing Payrolls (Apr),8K,5K,-4K,2024-05-03 12:30:00
USD,1.0,Manufacturing Payrolls (May),,,8K,2024-06-07 12:30:00
