Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Manufacturing Production (MoM) (Dec),-1.30%,-0.30%,-1.10%,2023-01-18 14:15:00
USD,1.0,Manufacturing Production (MoM) (Jan),1.00%,0.80%,-1.80%,2023-02-15 14:15:00
USD,1.0,Manufacturing Production (MoM) (Feb),0.10%,-0.20%,1.30%,2023-03-17 13:15:00
USD,1.0,Manufacturing Production (MoM) (Mar),-0.50%,-0.10%,0.60%,2023-04-14 13:15:00
USD,1.0,Manufacturing Production (MoM) (Apr),1.00%,0.10%,-0.80%,2023-05-16 13:15:00
USD,1.0,Manufacturing Production (MoM) (May),0.10%,-0.10%,0.90%,2023-06-15 13:15:00
USD,1.0,Manufacturing Production (MoM) (Jun),-0.30%,0.00%,-0.20%,2023-07-18 13:15:00
USD,1.0,Manufacturing Production (MoM) (Jul),0.50%,0.00%,-0.50%,2023-08-16 13:15:00
USD,1.0,Manufacturing Production (MoM) (Aug),0.10%,0.10%,0.40%,2023-09-15 13:15:00
USD,1.0,Manufacturing Production (MoM) (Sep),0.40%,0.10%,-0.10%,2023-10-17 13:15:00
USD,1.0,Manufacturing Production (MoM) (Oct),-0.70%,-0.30%,0.20%,2023-11-16 14:15:00
USD,1.0,Manufacturing Production (MoM) (Nov),0.30%,0.40%,-0.80%,2023-12-15 14:15:00
USD,1.0,Manufacturing Production (MoM) (Dec),0.10%,0.00%,0.20%,2024-01-17 14:15:00
USD,1.0,Manufacturing Production (MoM) (Jan),-0.50%,0.00%,0.10%,2024-02-15 14:15:00
USD,1.0,Manufacturing Production (MoM) (Feb),0.80%,0.30%,-1.10%,2024-03-15 13:15:00
USD,1.0,Manufacturing Production (MoM) (Mar),0.50%,,1.20%,2024-04-16 13:15:00
USD,1.0,Manufacturing Production (MoM) (Apr),-0.30%,0.10%,0.20%,2024-05-16 13:15:00
