Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Michigan 1-Year Inflation Expectations (Jan),4.00%,,4.40%,1/13/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Jan),3.90%,4.40%,4.00%,1/27/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Feb),4.20%,4.00%,3.90%,2/10/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Feb),4.10%,4.20%,3.90%,2/24/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Mar),3.80%,,4.10%,3/17/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Mar),3.60%,3.80%,4.10%,3/31/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Apr),4.60%,3.50%,3.60%,4/14/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Apr),4.60%,,4.60%,4/28/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (May),4.50%,4.40%,4.60%,5/12/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (May),4.20%,4.50%,4.60%,5/26/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Jun),3.30%,4.40%,4.20%,6/16/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Jun),3.30%,3.30%,4.20%,6/30/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Jul),3.40%,3.30%,3.30%,7/14/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Jul),3.40%,3.40%,3.30%,7/28/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Aug),3.30%,3.80%,3.40%,8/11/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Aug),3.50%,3.30%,3.40%,8/25/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Sep),3.10%,3.50%,3.50%,9/15/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Sep),3.20%,3.10%,3.50%,9/29/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Oct),3.80%,3.20%,3.20%,10/13/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Oct),4.20%,3.80%,3.20%,10/27/2023 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Nov),4.40%,4.00%,4.20%,11/10/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Nov),4.50%,4.40%,4.40%,11/22/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Dec),3.10%,4.30%,4.50%,12/8/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Dec),3.10%,3.10%,4.50%,12/22/2023 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Jan),2.90%,2.90%,3.10%,2/2/2024 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Feb),3.00%,2.90%,2.90%,2/16/2024 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Feb),3.00%,3.00%,2.90%,3/1/2024 15:00
USD,2.0,Michigan 1-Year Inflation Expectations (Mar),3.00%,3.10%,3.00%,3/15/2024 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Mar),2.90%,3.00%,3.00%,3/28/2024 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Apr),3.10%,2.90%,2.90%,4/11/2024 14:00
USD,2.0,Michigan 1-Year Inflation Expectations (Apr),3.20%,3.10%,2.90%,4/26/2024 14:00
