Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Michigan Current Conditions (Jan),68.6,60,59.4,2023-01-13 15:00:00
USD,1.0,Michigan Current Conditions (Jan),68.4,68.6,59.4,2023-01-27 15:00:00
USD,1.0,Michigan Current Conditions (Feb),72.6,68,68.4,2023-02-10 15:00:00
USD,1.0,Michigan Current Conditions (Feb),70.7,72.6,68.4,2023-02-24 15:00:00
USD,1.0,Michigan Current Conditions (Mar),66.4,70,70.7,2023-03-17 14:00:00
USD,2.0,Michigan Current Conditions (Mar),66.3,66.4,70.7,2023-03-31 14:00:00
USD,1.0,Michigan Current Conditions (Apr),68.6,67.3,66.3,2023-04-14 14:00:00
USD,1.0,Michigan Current Conditions (Apr),68.2,66,68.6,2023-04-28 14:00:00
USD,1.0,Michigan Current Conditions (May),64.5,67,68.2,2023-05-12 14:00:00
USD,1.0,Michigan Current Conditions (May),64.9,64.5,68.2,2023-05-26 14:00:00
USD,1.0,Michigan Current Conditions (Jun),68,61.6,64.9,2023-06-16 14:00:00
USD,1.0,Michigan Current Conditions (Jun),69,68,64.9,2023-06-30 14:00:00
USD,1.0,Michigan Current Conditions (Jul),77.5,70.4,69,2023-07-14 14:00:00
USD,1.0,Michigan Current Conditions (Jul),76.6,77.5,69,2023-07-28 14:00:00
USD,1.0,Michigan Current Conditions (Aug),77.4,76.9,76.6,2023-08-11 14:00:00
USD,1.0,Michigan Current Conditions (Aug),75.7,77.4,76.6,2023-08-25 14:00:00
USD,1.0,Michigan Current Conditions (Sep),69.8,75.3,75.7,2023-09-15 14:00:00
USD,1.0,Michigan Current Conditions (Sep),71.4,69.8,75.7,2023-09-29 14:00:00
USD,1.0,Michigan Current Conditions (Oct),66.7,70.4,71.4,2023-10-13 14:00:00
USD,1.0,Michigan Current Conditions (Oct),70.6,66.7,71.4,2023-10-27 14:00:00
USD,1.0,Michigan Current Conditions (Nov),65.7,69.5,70.6,2023-11-10 15:00:00
USD,1.0,Michigan Current Conditions (Nov),68.3,65.7,65.7,2023-11-22 15:00:00
USD,1.0,Michigan Current Conditions (Dec),74,68.5,68.3,2023-12-08 15:00:00
USD,1.0,Michigan Current Conditions (Dec),73.3,74,68.3,2023-12-22 15:00:00
USD,1.0,Michigan Current Conditions (Jan),81.9,83.3,73.3,2024-02-02 15:00:00
USD,1.0,Michigan Current Conditions (Feb),81.5,82,81.9,2024-02-16 15:00:00
USD,1.0,Michigan Current Conditions (Feb),79.4,81.5,81.9,2024-03-01 15:00:00
USD,1.0,Michigan Current Conditions (Mar),79.4,79.2,79.4,2024-03-15 14:00:00
USD,1.0,Michigan Current Conditions (Mar),82.5,79.4,79.4,2024-03-28 14:00:00
USD,1.0,Michigan Current Conditions (Apr),79.3,82.2,82.5,2024-04-11 14:00:00
USD,1.0,Michigan Current Conditions (Apr),79,79.3,82.5,2024-04-26 14:00:00
USD,1.0,Michigan Current Conditions (May),68.8,79,79,2024-05-10 14:00:00
USD,1.0,Michigan Current Conditions (May),,68.8,79,2024-05-24 14:00:00
