Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Mortgage Refinance Index,310.9,,371.4,1/4/2023 12:00
USD,1.0,Mortgage Refinance Index,326.7,,310.9,1/11/2023 12:00
USD,1.0,Mortgage Refinance Index,438.3,,326.7,1/18/2023 12:00
USD,1.0,Mortgage Refinance Index,502.3,,438.3,1/25/2023 12:00
USD,1.0,Mortgage Refinance Index,466.6,,502.3,2/1/2023 12:00
USD,1.0,Mortgage Refinance Index,549.3,,466.6,2/8/2023 12:00
USD,1.0,Mortgage Refinance Index,480.5,,549.3,2/15/2023 12:00
USD,1.0,Mortgage Refinance Index,469.9,,480.5,2/22/2023 12:00
USD,1.0,Mortgage Refinance Index,444,,469.9,3/1/2023 12:00
USD,1.0,Mortgage Refinance Index,437.9,,444,3/8/2023 12:00
USD,1.0,Mortgage Refinance Index,458.9,,437.9,3/15/2023 11:00
USD,1.0,Mortgage Refinance Index,481.3,,458.9,3/22/2023 11:00
USD,1.0,Mortgage Refinance Index,504.4,,481.3,3/29/2023 11:00
USD,1.0,Mortgage Refinance Index,477.2,,504.4,4/5/2023 11:00
USD,1.0,Mortgage Refinance Index,477.5,,477.2,4/12/2023 11:00
USD,1.0,Mortgage Refinance Index,449.8,,477.5,4/19/2023 11:00
USD,1.0,Mortgage Refinance Index,457.6,,449.8,4/26/2023 11:00
USD,1.0,Mortgage Refinance Index,461.2,,457.6,5/3/2023 11:00
USD,1.0,Mortgage Refinance Index,507.1,,461.2,5/10/2023 11:00
USD,1.0,Mortgage Refinance Index,468.2,,507.1,5/17/2023 11:00
USD,1.0,Mortgage Refinance Index,443,,468.2,5/24/2023 11:00
USD,1.0,Mortgage Refinance Index,412.5,,443,5/31/2023 11:00
USD,1.0,Mortgage Refinance Index,409.7,,412.5,6/7/2023 11:00
USD,1.0,Mortgage Refinance Index,434.1,,409.7,6/14/2023 11:00
USD,1.0,Mortgage Refinance Index,425.1,,434.1,6/21/2023 11:00
USD,1.0,Mortgage Refinance Index,439.2,,425.1,6/28/2023 11:00
USD,1.0,Mortgage Refinance Index,421.3,,439.2,7/6/2023 11:00
USD,1.0,Mortgage Refinance Index,416,,421.3,7/12/2023 11:00
USD,1.0,Mortgage Refinance Index,446.4,,416,7/19/2023 11:00
USD,1.0,Mortgage Refinance Index,444.5,,446.4,7/26/2023 11:00
USD,1.0,Mortgage Refinance Index,433.6,,444.5,8/2/2023 11:00
USD,1.0,Mortgage Refinance Index,416.1,,433.6,8/9/2023 11:00
USD,1.0,Mortgage Refinance Index,408.4,,416.1,8/16/2023 11:00
USD,1.0,Mortgage Refinance Index,397.1,,408.4,8/23/2023 11:00
USD,1.0,Mortgage Refinance Index,407.1,,397.1,8/30/2023 11:00
USD,1.0,Mortgage Refinance Index,388.1,,407.1,9/6/2023 11:00
USD,1.0,Mortgage Refinance Index,367,,388.1,9/13/2023 11:00
USD,1.0,Mortgage Refinance Index,415.4,,367,9/20/2023 11:00
USD,1.0,Mortgage Refinance Index,411.7,,415.4,9/27/2023 11:00
USD,1.0,Mortgage Refinance Index,384.6,,411.7,10/4/2023 11:00
USD,1.0,Mortgage Refinance Index,385.8,,384.6,10/11/2023 11:00
USD,1.0,Mortgage Refinance Index,347.6,,385.8,10/18/2023 11:00
USD,1.0,Mortgage Refinance Index,354,,347.6,10/25/2023 11:00
USD,1.0,Mortgage Refinance Index,341.7,,354,11/1/2023 11:00
USD,1.0,Mortgage Refinance Index,347.3,,341.7,11/8/2023 12:00
USD,1.0,Mortgage Refinance Index,354.3,,347.3,11/15/2023 12:00
USD,1.0,Mortgage Refinance Index,359.9,,354.3,11/22/2023 12:00
USD,1.0,Mortgage Refinance Index,327.8,,359.9,11/29/2023 12:00
USD,1.0,Mortgage Refinance Index,373.3,,327.8,12/6/2023 12:00
USD,1.0,Mortgage Refinance Index,445.8,,373.3,12/13/2023 12:00
USD,1.0,Mortgage Refinance Index,437.6,,445.8,12/20/2023 12:00
USD,1.0,Mortgage Refinance Index,358.2,,437.6,1/3/2024 12:00
USD,1.0,Mortgage Refinance Index,425.4,,358.2,1/10/2024 12:00
USD,1.0,Mortgage Refinance Index,471.2,,425.4,1/17/2024 12:00
USD,1.0,Mortgage Refinance Index,438.4,,471.2,1/24/2024 12:00
USD,1.0,Mortgage Refinance Index,445.6,,438.4,1/31/2024 12:00
USD,1.0,Mortgage Refinance Index,500.2,,445.6,2/7/2024 12:00
USD,1.0,Mortgage Refinance Index,489.6,,500.2,2/14/2024 12:00
USD,1.0,Mortgage Refinance Index,427,,489.6,2/21/2024 12:00
USD,1.0,Mortgage Refinance Index,395.9,,427,2/28/2024 12:00
USD,1.0,Mortgage Refinance Index,428.1,,395.9,3/6/2024 12:00
USD,1.0,Mortgage Refinance Index,480.3,,428.1,3/13/2024 11:00
USD,1.0,Mortgage Refinance Index,468.4,,480.3,3/20/2024 11:00
USD,1.0,Mortgage Refinance Index,460.9,,468.4,3/27/2024 11:00
USD,1.0,Mortgage Refinance Index,453.5,,460.9,4/3/2024 11:00
USD,1.0,Mortgage Refinance Index,498.3,,453.5,4/10/2024 11:00
USD,1.0,Mortgage Refinance Index,500.7,,498.3,4/17/2024 11:00
USD,1.0,Mortgage Refinance Index,472.7,,500.7,4/24/2024 11:00
