Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,NAHB Housing Market Index (Jan),35,31,31,1/18/2023 15:00
USD,1.0,NAHB Housing Market Index (Feb),42,37,35,2/15/2023 15:00
USD,1.0,NAHB Housing Market Index (Mar),44,40,42,3/15/2023 14:00
USD,1.0,NAHB Housing Market Index (Apr),45,44,44,4/17/2023 14:00
USD,1.0,NAHB Housing Market Index (May),50,45,45,5/16/2023 14:00
USD,1.0,NAHB Housing Market Index (Jun),55,51,50,6/19/2023 14:00
USD,1.0,NAHB Housing Market Index (Jul),56,56,55,7/18/2023 14:00
USD,1.0,NAHB Housing Market Index (Aug),50,56,56,8/15/2023 14:00
USD,1.0,NAHB Housing Market Index (Sep),45,50,50,9/18/2023 14:00
USD,1.0,NAHB Housing Market Index (Oct),40,44,44,10/17/2023 14:00
USD,1.0,NAHB Housing Market Index (Nov),34,40,40,11/16/2023 15:00
USD,1.0,NAHB Housing Market Index (Dec),37,36,34,12/18/2023 15:00
USD,1.0,NAHB Housing Market Index (Jan),44,39,37,1/17/2024 15:00
USD,1.0,NAHB Housing Market Index (Feb),48,46,44,2/15/2024 15:00
USD,1.0,NAHB Housing Market Index (Mar),51,48,48,3/18/2024 14:00
USD,1.0,NAHB Housing Market Index (Apr),51,51,51,4/15/2024 14:00
