Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,NY Empire State Manufacturing Index (Jan),-32.9,-8.7,-11.2,1/17/2023 13:30
USD,2.0,NY Empire State Manufacturing Index (Feb),-5.8,-18,-32.9,2/15/2023 13:30
USD,2.0,NY Empire State Manufacturing Index (Mar),-24.6,-8,-5.8,3/15/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Apr),10.8,-18,-24.6,4/17/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (May),-31.8,-3.7,10.8,5/15/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Jun),6.6,-16,-31.8,6/15/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Jul),1.1,-4.3,6.6,7/17/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Aug),-19,-1,1.1,8/15/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Sep),1.9,-10,-19,9/15/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Oct),-4.6,-7,1.9,10/16/2023 12:30
USD,2.0,NY Empire State Manufacturing Index (Nov),9.1,-2.8,-4.6,11/15/2023 13:30
USD,2.0,NY Empire State Manufacturing Index (Dec),-14.5,2,9.1,12/15/2023 13:30
USD,2.0,NY Empire State Manufacturing Index (Jan),-43.7,-5,-14.5,1/16/2024 13:30
USD,2.0,NY Empire State Manufacturing Index (Feb),-2.4,-13.7,-43.7,2/15/2024 13:30
USD,2.0,NY Empire State Manufacturing Index (Mar),-20.9,-7,-2.4,3/15/2024 12:30
USD,2.0,NY Empire State Manufacturing Index (Apr),-14.3,-5.2,-20.9,4/15/2024 12:30
