Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,5.00%,,5.20%,1/9/2023 16:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,5.00%,,5.00%,2/13/2023 16:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,4.20%,,5.00%,3/13/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,4.70%,,4.20%,4/10/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,4.40%,,4.70%,5/8/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,4.10%,,4.40%,6/12/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.80%,,4.10%,7/10/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.50%,,3.80%,8/14/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.63%,,3.55%,9/11/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.70%,,3.63%,10/10/2023 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.60%,,3.70%,11/13/2023 16:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.40%,,3.60%,12/11/2023 16:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.00%,,3.40%,1/8/2024 16:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.00%,,3.00%,2/12/2024 16:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.00%,,3.00%,3/11/2024 15:00
USD,2.0,NY Fed 1-Year Consumer Inflation Expectations,3.00%,,3.00%,4/8/2024 15:00
