Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Natural Gas Storage,-221B,-228B,-213B,1/5/2023 15:30
USD,1.0,Natural Gas Storage,11B,-15B,-221B,1/12/2023 15:30
USD,3.0,Natural Gas Storage,-82B,-71B,11B,1/19/2023 15:30
USD,1.0,Natural Gas Storage,-91B,-82B,-82B,1/26/2023 15:30
USD,1.0,Natural Gas Storage,-151B,-142B,-91B,2/2/2023 15:30
USD,1.0,Natural Gas Storage,-217B,-195B,-151B,2/9/2023 15:30
USD,1.0,Natural Gas Storage,-100B,-109B,-217B,2/16/2023 15:30
USD,1.0,Natural Gas Storage,-71B,-67B,-100B,2/23/2023 15:30
USD,1.0,Natural Gas Storage,-81B,-75B,-71B,3/2/2023 15:30
USD,1.0,Natural Gas Storage,-84B,-80B,-81B,3/9/2023 15:30
USD,1.0,Natural Gas Storage,-58B,-62B,-84B,3/16/2023 14:30
USD,1.0,Natural Gas Storage,-72B,-75B,-58B,3/23/2023 14:30
USD,1.0,Natural Gas Storage,-47B,-54B,-72B,3/30/2023 14:30
USD,1.0,Natural Gas Storage,-23B,-21B,-47B,4/6/2023 14:30
USD,1.0,Natural Gas Storage,25B,28B,-23B,4/13/2023 14:30
USD,1.0,Natural Gas Storage,75B,69B,25B,4/20/2023 14:30
USD,1.0,Natural Gas Storage,79B,75B,75B,4/27/2023 14:30
USD,1.0,Natural Gas Storage,54B,86B,79B,5/4/2023 14:30
USD,1.0,Natural Gas Storage,78B,74B,54B,5/11/2023 14:30
USD,1.0,Natural Gas Storage,99B,108B,78B,5/18/2023 14:30
USD,1.0,Natural Gas Storage,96B,108B,99B,5/25/2023 14:30
USD,1.0,Natural Gas Storage,110B,113B,96B,6/1/2023 14:30
USD,1.0,Natural Gas Storage,104B,104B,110B,6/8/2023 14:30
USD,1.0,Natural Gas Storage,84B,96B,104B,6/15/2023 14:30
USD,1.0,Natural Gas Storage,95B,91B,84B,6/22/2023 14:30
USD,1.0,Natural Gas Storage,76B,83B,95B,6/29/2023 14:30
USD,1.0,Natural Gas Storage,72B,64B,76B,7/7/2023 14:30
USD,1.0,Natural Gas Storage,49B,51B,68B,7/13/2023 14:30
USD,1.0,Natural Gas Storage,41B,40B,49B,7/20/2023 14:30
USD,1.0,Natural Gas Storage,16B,19B,41B,7/27/2023 14:30
USD,1.0,Natural Gas Storage,14B,17B,16B,8/3/2023 14:30
USD,1.0,Natural Gas Storage,29B,25B,14B,8/10/2023 14:30
USD,1.0,Natural Gas Storage,35B,34B,29B,8/17/2023 14:30
USD,1.0,Natural Gas Storage,18B,33B,35B,8/24/2023 14:30
USD,1.0,Natural Gas Storage,32B,25B,18B,8/31/2023 14:30
USD,1.0,Natural Gas Storage,33B,43B,32B,9/7/2023 14:30
USD,1.0,Natural Gas Storage,57B,48B,33B,9/14/2023 14:30
USD,1.0,Natural Gas Storage,64B,67B,57B,9/21/2023 14:30
USD,1.0,Natural Gas Storage,90B,88B,64B,9/28/2023 14:30
USD,1.0,Natural Gas Storage,86B,92B,90B,10/5/2023 14:30
USD,1.0,Natural Gas Storage,84B,88B,86B,10/12/2023 14:30
USD,1.0,Natural Gas Storage,97B,80B,84B,10/19/2023 14:30
USD,1.0,Natural Gas Storage,74B,80B,97B,10/26/2023 14:30
USD,1.0,Natural Gas Storage,79B,80B,74B,11/2/2023 14:30
USD,1.0,Natural Gas Storage,-6B,,79B,11/16/2023 15:29
USD,1.0,Natural Gas Storage,60B,40B,-6B,11/16/2023 15:30
USD,1.0,Natural Gas Storage,-7B,7B,60B,11/22/2023 17:00
USD,1.0,Natural Gas Storage,10B,-12B,-7B,11/30/2023 15:30
USD,1.0,Natural Gas Storage,-117B,-105B,10B,12/7/2023 15:30
USD,1.0,Natural Gas Storage,-55B,-54B,-117B,12/14/2023 15:30
USD,1.0,Natural Gas Storage,-87B,-82B,-55B,12/21/2023 15:30
USD,1.0,Natural Gas Storage,-87B,-79B,-87B,12/28/2023 15:30
USD,1.0,Natural Gas Storage,-14B,-40B,-87B,1/4/2024 15:30
USD,1.0,Natural Gas Storage,-140B,-119B,-14B,1/11/2024 15:30
USD,1.0,Natural Gas Storage,-154B,-164B,-140B,1/18/2024 15:30
USD,1.0,Natural Gas Storage,-326B,-322B,-154B,1/25/2024 15:30
USD,1.0,Natural Gas Storage,-197B,-202B,-326B,2/1/2024 15:30
USD,1.0,Natural Gas Storage,-75B,-73B,-197B,2/8/2024 15:30
USD,1.0,Natural Gas Storage,-49B,-67B,-75B,2/15/2024 15:30
USD,1.0,Natural Gas Storage,-60B,-59B,-54B,2/22/2024 15:30
USD,1.0,Natural Gas Storage,-96B,-86B,-60B,2/29/2024 15:30
USD,1.0,Natural Gas Storage,-40B,-42B,-96B,3/7/2024 15:30
USD,1.0,Natural Gas Storage,-9B,-3B,-40B,3/14/2024 14:30
USD,1.0,Natural Gas Storage,7B,5B,-9B,3/21/2024 14:30
USD,1.0,Natural Gas Storage,-36B,-26B,7B,3/28/2024 14:30
USD,1.0,Natural Gas Storage,-37B,-42B,-36B,4/4/2024 14:30
USD,1.0,Natural Gas Storage,24B,14B,-37B,4/11/2024 14:30
USD,1.0,Natural Gas Storage,50B,54B,24B,4/18/2024 14:30
USD,1.0,Natural Gas Storage,92B,87B,50B,4/25/2024 14:30
