Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,New Home Sales (Dec),616K,617K,602K,1/26/2023 15:00
USD,3.0,New Home Sales (Jan),670K,620K,625K,2/24/2023 15:00
USD,3.0,New Home Sales (Feb),640K,650K,633K,3/23/2023 14:00
USD,3.0,New Home Sales (Mar),683K,630K,623K,4/25/2023 14:00
USD,3.0,New Home Sales (Apr),683K,663K,656K,5/23/2023 14:00
USD,3.0,New Home Sales (May),763K,675K,680K,6/27/2023 14:00
USD,3.0,New Home Sales (Jun),697K,725K,715K,7/26/2023 14:00
USD,3.0,New Home Sales (Jul),714K,705K,684K,8/23/2023 14:00
USD,1.0,New Home Sales (Aug),675K,700K,739K,9/26/2023 14:00
USD,3.0,New Home Sales (Sep),759K,680K,676K,10/25/2023 14:00
USD,3.0,New Home Sales (Oct),679K,721K,719K,11/27/2023 15:00
USD,3.0,New Home Sales (Nov),590K,695K,672K,12/22/2023 15:00
USD,3.0,New Home Sales (Dec),664K,645K,615K,1/25/2024 15:00
USD,3.0,New Home Sales (Jan),661K,680K,651K,2/26/2024 15:00
USD,3.0,New Home Sales (Feb),662K,675K,664K,3/25/2024 14:00
USD,3.0,New Home Sales (Mar),693K,668K,637K,4/23/2024 14:00
