Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,New Home Sales (MoM) (Dec),2.30%,-4.70%,0.70%,1/26/2023 15:00
USD,2.0,New Home Sales (MoM) (Jan),7.20%,,7.20%,2/24/2023 15:00
USD,2.0,New Home Sales (MoM) (Feb),1.10%,,1.80%,3/23/2023 14:00
USD,2.0,New Home Sales (MoM) (Mar),9.60%,1.10%,-3.90%,4/25/2023 14:00
USD,2.0,New Home Sales (MoM) (Apr),4.10%,3.30%,4.00%,5/23/2023 14:00
USD,2.0,New Home Sales (MoM) (May),12.20%,,3.50%,6/27/2023 14:00
USD,2.0,New Home Sales (MoM) (Jun),-2.50%,-0.70%,6.60%,7/26/2023 14:00
USD,2.0,New Home Sales (MoM) (Jul),4.40%,0.20%,-2.80%,8/23/2023 14:00
USD,1.0,New Home Sales (MoM) (Aug),-8.70%,,8.00%,9/26/2023 14:00
USD,2.0,New Home Sales (MoM) (Sep),12.30%,,-8.20%,10/25/2023 14:00
USD,2.0,New Home Sales (MoM) (Oct),-5.60%,-4.50%,8.60%,11/27/2023 15:00
USD,2.0,New Home Sales (MoM) (Nov),-12.20%,,-4.00%,12/22/2023 15:00
USD,2.0,New Home Sales (MoM) (Dec),8.00%,,-9.00%,1/25/2024 15:00
USD,2.0,New Home Sales (MoM) (Jan),1.50%,3.00%,7.20%,2/26/2024 15:00
USD,2.0,New Home Sales (MoM) (Feb),-0.30%,,1.70%,3/25/2024 14:00
USD,2.0,New Home Sales (MoM) (Mar),8.80%,,-5.10%,4/23/2024 14:00
