Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.02M,,1.03M,1/31/2023 15:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.02M,,1.01M,2/28/2023 14:30
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.01M,,1.02M,3/31/2023 11:45
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),1.01M,,1.01M,5/2/2023 11:15
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,1.00M,5/31/2023 14:15
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.97M,,0.96M,6/30/2023 12:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.97M,7/31/2023 14:44
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.96M,8/31/2023 21:21
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.93M,,0.96M,9/29/2023 15:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.93M,10/31/2023 13:30
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.97M,,0.96M,11/30/2023 13:15
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.97M,12/28/2023 15:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.96M,,0.96M,1/31/2024 15:45
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.91M,,0.96M,2/29/2024 15:45
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.90M,,0.91M,3/29/2024 14:00
USD,1.0,OPEC Crude Oil Production Algeria (Barrel),0.90M,,0.90M,4/30/2024 16:00
