Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.19M,,0.20M,1/31/2023 15:00
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.19M,,0.19M,2/28/2023 14:30
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.20M,,0.19M,3/31/2023 11:45
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.20M,,0.20M,5/2/2023 11:15
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.20M,5/31/2023 14:15
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.21M,6/30/2023 12:00
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.21M,7/31/2023 14:44
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.21M,8/31/2023 21:21
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.22M,,0.21M,9/29/2023 15:00
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.22M,10/31/2023 13:30
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.22M,,0.21M,11/30/2023 13:15
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.22M,,0.21M,12/28/2023 15:00
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.22M,1/31/2024 15:45
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.21M,2/29/2024 15:45
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.21M,,0.21M,3/29/2024 14:00
USD,1.0,OPEC Crude Oil Production Gabon (Barrel),0.22M,,0.21M,4/30/2024 16:00
