Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.58M,,2.57M,1/31/2023 15:00
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.60M,,2.58M,2/28/2023 14:30
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.60M,,2.60M,3/31/2023 11:45
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.57M,,2.60M,5/2/2023 11:15
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.58M,,2.57M,5/31/2023 14:15
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.63M,,2.58M,6/30/2023 12:00
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.75M,,2.68M,7/31/2023 14:44
USD,1.0,OPEC Crude oil Production Iran (Barrel),2.83M,,2.75M,8/31/2023 21:21
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.00M,,2.83M,9/29/2023 15:00
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.06M,,3.00M,10/31/2023 13:30
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.12M,,3.06M,11/30/2023 13:15
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.13M,,3.12M,12/28/2023 15:00
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.10M,,3.13M,1/31/2024 15:45
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.16M,,3.10M,2/29/2024 15:45
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.03M,,3.16M,3/29/2024 14:00
USD,1.0,OPEC Crude oil Production Iran (Barrel),3.15M,,3.03M,4/30/2024 16:00
