Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),10.44M,,10.45M,1/31/2023 13:30
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),10.45M,,10.44M,2/28/2023 14:30
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),10.36M,,10.45M,3/31/2023 11:45
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),10.41M,,10.36M,5/2/2023 11:15
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),10.50M,,10.41M,5/31/2023 14:15
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),9.98M,,10.50M,6/30/2023 12:00
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),10.00M,,9.98M,7/31/2023 14:44
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),9.02M,,10.00M,8/31/2023 21:21
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),8.97M,,9.02M,9/29/2023 15:00
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),9.01M,,8.97M,10/31/2023 13:30
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),8.90M,,9.01M,11/30/2023 13:15
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),9.00M,,8.90M,12/28/2023 15:00
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),8.99M,,8.95M,1/31/2024 15:45
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),8.97M,,8.99M,2/29/2024 15:45
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),8.98M,,8.97M,3/29/2024 14:00
USD,1.0,OPEC Crude oil Production Saudi Arabia (Barrel),9.00M,,8.98M,4/30/2024 16:00
