Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.67M,,0.67M,1/31/2023 15:00
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.68M,,0.66M,2/28/2023 14:30
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.69M,,0.68M,3/31/2023 11:45
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.70M,,0.69M,5/2/2023 11:15
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.72M,,0.70M,5/31/2023 14:15
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.74M,,0.72M,6/30/2023 12:00
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.77M,,0.74M,7/31/2023 14:44
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.77M,,0.77M,8/31/2023 21:21
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.73M,,0.77M,9/29/2023 15:00
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.73M,,0.73M,10/31/2023 13:30
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.76M,,0.73M,11/30/2023 13:15
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.78M,,0.76M,12/28/2023 15:00
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.79M,,0.77M,1/31/2024 15:45
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.80M,,0.79M,2/29/2024 15:45
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.80M,,0.80M,3/29/2024 14:00
USD,1.0,OPEC Crude oil Production Venezuela (Barrel),0.79M,,0.80M,4/30/2024 16:00
