Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Overall Net Capital Flow (Nov),213.10B,,179.30B,2023-01-18 21:00:00
USD,1.0,Overall Net Capital Flow (Dec),28.60B,,213.40B,2023-02-15 21:00:00
USD,1.0,Overall Net Capital Flow (Jan),183.10B,,26.70B,2023-03-15 20:00:00
USD,1.0,Overall Net Capital Flow (Feb),28.00B,197.60B,183.20B,2023-04-17 20:00:00
USD,1.0,Overall Net Capital Flow (Mar),56.70B,59.60B,13.70B,2023-05-15 20:00:00
USD,1.0,Overall Net Capital Flow (Apr),48.40B,163.60B,129.00B,2023-06-15 20:00:00
USD,1.0,Overall Net Capital Flow (May),-167.60B,180.50B,35.30B,2023-07-18 20:00:00
USD,1.0,Overall Net Capital Flow (Jun),147.80B,42.80B,-161.60B,2023-08-15 20:00:00
USD,1.0,Overall Net Capital Flow (Jul),140.60B,,137.90B,2023-09-18 20:00:00
USD,1.0,Overall Net Capital Flow (Aug),134.40B,,141.40B,2023-10-18 20:00:00
USD,1.0,Overall Net Capital Flow (Sep),-67.40B,,131.00B,2023-11-16 21:00:00
USD,1.0,Overall Net Capital Flow (Oct),-83.80B,,-64.80B,2023-12-19 21:00:00
USD,1.0,Overall Net Capital Flow (Dec),139.80B,,223.30B,2024-02-15 21:00:00
USD,1.0,Overall Net Capital Flow (Jan),-8.80B,,137.40B,2024-03-19 20:00:00
USD,1.0,Overall Net Capital Flow (Feb),51.60B,,-30.80B,2024-04-17 20:00:00
USD,1.0,Overall Net Capital Flow (Mar),102.10B,,42.00B,2024-05-15 20:00:00
