Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,PCE Prices (Q4),3.20%,,4.30%,1/26/2023 13:30
USD,1.0,PCE Prices (Q4),3.70%,,4.30%,2/23/2023 13:30
USD,1.0,PCE Prices (Q4),3.70%,,4.30%,3/30/2023 12:30
USD,1.0,PCE Prices (Q1),4.20%,0.50%,3.70%,4/27/2023 12:30
USD,1.0,PCE Prices (Q1),4.20%,4.20%,3.70%,5/25/2023 12:30
USD,1.0,PCE Prices (Q1),4.10%,4.20%,3.70%,6/29/2023 12:30
USD,1.0,PCE Prices (Q2),2.60%,,4.10%,7/27/2023 12:30
USD,1.0,PCE Prices (Q2),2.50%,2.60%,4.10%,8/30/2023 12:30
USD,1.0,PCE Prices (Q2),2.50%,2.50%,4.10%,9/28/2023 12:30
USD,1.0,PCE Prices (Q3),2.90%,,2.50%,10/26/2023 12:30
USD,1.0,PCE Prices (Q3),2.80%,2.90%,2.50%,11/29/2023 13:30
USD,1.0,PCE Prices (Q3),2.60%,2.80%,2.50%,12/21/2023 13:30
USD,1.0,PCE Prices (Q4),1.70%,,2.60%,1/25/2024 13:30
USD,1.0,PCE Prices (Q4),1.80%,1.70%,2.60%,2/28/2024 13:30
USD,1.0,PCE Prices (Q4),1.80%,1.80%,2.60%,3/28/2024 12:30
USD,1.0,PCE Prices (Q1),3.40%,,1.80%,4/25/2024 12:30
