Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,PPI (MoM) (Dec),-0.50%,-0.10%,0.20%,1/18/2023 13:30
USD,3.0,PPI (MoM) (Jan),0.70%,0.40%,-0.20%,2/16/2023 13:30
USD,3.0,PPI (MoM) (Feb),-0.10%,0.30%,0.30%,3/15/2023 12:30
USD,3.0,PPI (MoM) (Mar),-0.50%,0.10%,0.00%,4/13/2023 12:30
USD,3.0,PPI (MoM) (Apr),0.20%,0.30%,-0.40%,5/11/2023 12:30
USD,3.0,PPI (MoM) (May),-0.30%,-0.10%,0.20%,6/14/2023 12:30
USD,3.0,PPI (MoM) (Jun),0.10%,0.20%,-0.40%,7/13/2023 12:30
USD,3.0,PPI (MoM) (Jul),0.30%,0.20%,0.00%,8/11/2023 12:30
USD,3.0,PPI (MoM) (Aug),0.70%,0.40%,0.40%,9/14/2023 12:30
USD,3.0,PPI (MoM) (Sep),0.50%,0.30%,0.70%,10/11/2023 12:30
USD,3.0,PPI (MoM) (Oct),-0.50%,0.10%,0.40%,11/15/2023 13:30
USD,3.0,PPI (MoM) (Nov),0.00%,0.10%,-0.40%,12/13/2023 13:30
USD,3.0,PPI (MoM) (Dec),-0.10%,0.10%,-0.10%,1/12/2024 13:30
USD,3.0,PPI (MoM) (Jan),0.30%,0.10%,-0.10%,2/16/2024 13:30
USD,3.0,PPI (MoM) (Feb),0.60%,0.30%,0.30%,3/14/2024 12:30
USD,3.0,PPI (MoM) (Mar),0.20%,0.30%,0.60%,4/11/2024 12:30
